mo_id,mo_number,mo_date,requested_by,requested_by_department,from_department_id,to_department_id,approved_by,approved_date,issued_by,issued_date,status,remarks
1,MO202606010001,2026-06-01,4,2,2,3,8,2026-06-01,5,2026-06-01,Received,Type: Stores to Production | Priority: Medium | From: Raw Material Warehouse - Copper Rack A | To: Stator Winding Line 1 | Reason: Issue copper winding wire for stator production batch MO batch 001. | Note: Material received and acknowledged at destination.
15,MO202606150001,2026-06-15,6,3,2,3,,,,,Pending Approval,Type: Stores to Production | Priority: Medium | From: Raw Material Warehouse - Magnet Cage | To: Rotor Assembly Line 1 | Reason: Issue magnet sets for rotor build plan MO batch 015. | Note: Awaiting department approval before material handling.
16,MO202606160001,2026-06-16,7,3,2,5,,,,,Draft,Type: Stores to Maintenance | Priority: Urgent | From: Lubricants Store | To: Motor Test Maintenance Bay | Reason: Issue grease cartridges for preventive maintenance MO batch 016. | Note: Draft prepared for supervisor review.
17,MO202606170001,2026-06-17,9,4,3,5,,,,,Cancelled,Type: Production to Quality | Priority: Medium | From: Impregnation Oven Exit Area | To: Quality Inspection Bay 1 | Reason: Move varnished stators for quality release MO batch 017. | Note: Cancelled due to revised production or dispatch priority.
18,MO202606180001,2026-06-18,12,6,5,6,10,2026-06-18,3,2026-06-18,Received,Type: Production to Finished Goods | Priority: High | From: End of Line Test Area | To: Finished Goods Warehouse - Export Hold | Reason: Transfer export motors after packing checklist completion MO batch 018. | Note: Material received and acknowledged at destination.
19,MO202606190001,2026-06-19,1,1,6,6,8,2026-06-19,,,Approved,Type: Finished Goods to Dispatch | Priority: Urgent | From: Finished Goods Warehouse - Export Hold | To: Dispatch Staging Dock 3 | Reason: Transfer export hold motors for container stuffing MO batch 019. | Note: Approved and waiting for movement team assignment.
20,MO202606200001,2026-06-20,12,6,3,4,1,2026-06-20,11,2026-06-20,Issued,Type: Inter-Department Transfer | Priority: Low | From: Core Stacking Output Rack | To: Assembly Supermarket | Reason: Move line support tooling between production areas MO batch 020. | Note: Material issued from source area; receipt confirmation pending.
21,MO202606210001,2026-06-21,3,2,5,2,10,2026-06-21,5,2026-06-21,Received,Type: Return to Stores | Priority: High | From: Core Stacking Excess Rack | To: Raw Material Warehouse - Lamination Bay | Reason: Return excess stator laminations after yield adjustment MO batch 021. | Note: Material received and acknowledged at destination.
22,MO202606220001,2026-06-22,13,6,2,3,8,2026-06-22,3,2026-06-22,Issued,Type: Stores to Production | Priority: Medium | From: Electrical Store - Sleeve Bin | To: Harness Preparation Cell | Reason: Issue insulation sleeves for winding rework batch MO batch 022. | Note: Material issued from source area; receipt confirmation pending.
23,MO202606230001,2026-06-23,1,1,2,5,1,2026-06-23,7,2026-06-23,Partially Received,Type: Stores to Maintenance | Priority: Medium | From: Safety Stock Room | To: Shutdown Maintenance Cage | Reason: Move safety relays for shutdown replacement MO batch 023. | Note: Partial receipt recorded; balance pending verification.
24,MO202606240001,2026-06-24,4,2,3,5,10,2026-06-24,,,Approved,Type: Production to Quality | Priority: Urgent | From: Rotor Assembly Line 2 | To: Quality Hold Area | Reason: Move rotor assemblies for balancing audit MO batch 024. | Note: Approved and waiting for movement team assignment.
25,MO202606250001,2026-06-25,7,3,5,6,,,,,Pending Approval,Type: Production to Finished Goods | Priority: Medium | From: Packing Line - Motor Cell | To: Finished Goods Warehouse - Dispatch Ready Bay | Reason: Move motors after end-of-line test release MO batch 025. | Note: Awaiting department approval before material handling.
26,MO202600000026,2026-06-26,4,2,2,3,8,2026-06-26,5,2026-06-26,Received,Type: Stores to Production | Priority: Medium | From: Raw Material Warehouse - Copper Rack A | To: Stator Winding Line 1 | Reason: Issue copper winding wire for stator production batch MO batch 026. | Note: Material received and acknowledged at destination.
27,MO202600000027,2026-06-27,5,1,2,5,1,2026-06-27,3,2026-06-27,Issued,Type: Stores to Maintenance | Priority: High | From: Maintenance Spares Cage | To: Assembly Maintenance Bay | Reason: Transfer bearing puller kit for test bench repair MO batch 027. | Note: Material issued from source area; receipt confirmation pending.
28,MO202600000028,2026-06-28,7,3,3,5,10,2026-06-28,7,2026-06-28,Partially Received,Type: Production to Quality | Priority: Urgent | From: Stator Winding Line 1 | To: Assembly Quality Gate | Reason: Move sample stators for insulation resistance testing MO batch 028. | Note: Partial receipt recorded; balance pending verification.
29,MO202600000029,2026-06-29,10,5,5,6,8,2026-06-29,,,Approved,Type: Production to Finished Goods | Priority: Low | From: Final Assembly Line 1 | To: Finished Goods Warehouse - EV Motor Zone | Reason: Transfer completed traction motors after final torque verification MO batch 029. | Note: Approved and waiting for movement team assignment.
30,MO202600000030,2026-06-30,12,6,6,6,,,,,Pending Approval,Type: Finished Goods to Dispatch | Priority: High | From: Finished Goods Warehouse - EV Motor Zone | To: Dispatch Staging Dock 1 | Reason: Stage motors for OEM dispatch MO batch 030. | Note: Awaiting department approval before material handling.
31,MO202600000031,2026-07-01,10,5,3,4,,,,,Draft,Type: Inter-Department Transfer | Priority: Medium | From: Stator Buffer Area | To: Rotor Assembly Feed Bay | Reason: Transfer matched stator sets for rotor pairing MO batch 031. | Note: Draft prepared for supervisor review.
32,MO202600000032,2026-07-02,13,6,5,2,,,,,Cancelled,Type: Return to Stores | Priority: Medium | From: Assembly Line Surplus Bin | To: Raw Material Warehouse - Copper Rack A | Reason: Return unused copper wire after order closure MO batch 032. | Note: Cancelled due to revised production or dispatch priority.
33,MO202600000033,2026-07-03,11,5,2,3,1,2026-07-03,11,2026-07-03,Received,Type: Stores to Production | Priority: Urgent | From: Raw Material Warehouse - Lamination Bay | To: Core Stacking Line | Reason: Move stator laminations for core stacking schedule MO batch 033. | Note: Material received and acknowledged at destination.
34,MO202600000034,2026-07-04,12,6,2,5,10,2026-07-04,,,Approved,Type: Stores to Maintenance | Priority: Medium | From: Tool Crib - Calibration Shelf | To: Preventive Maintenance Bay | Reason: Move torque tools for scheduled calibration MO batch 034. | Note: Approved and waiting for movement team assignment.
35,MO202600000035,2026-07-05,1,1,3,5,8,2026-07-05,3,2026-07-05,Issued,Type: Production to Quality | Priority: High | From: Core Stacking Line | To: Incoming Quality Bay | Reason: Move core stacks for dimensional inspection MO batch 035. | Note: Material issued from source area; receipt confirmation pending.
36,MO202600000036,2026-07-06,5,1,5,6,1,2026-07-06,7,2026-07-06,Received,Type: Production to Finished Goods | Priority: Urgent | From: Final Assembly Line 2 | To: Finished Goods Warehouse - Premium Motor Aisle | Reason: Move auxiliary motors after QA label application MO batch 036. | Note: Material received and acknowledged at destination.
37,MO202600000037,2026-07-07,7,3,6,6,10,2026-07-07,11,2026-07-07,Issued,Type: Finished Goods to Dispatch | Priority: Low | From: Finished Goods Warehouse - Premium Motor Aisle | To: Dispatch Staging Dock 2 | Reason: Move premium motors for export packing MO batch 037. | Note: Material issued from source area; receipt confirmation pending.
38,MO202600000038,2026-07-08,5,1,3,4,8,2026-07-08,5,2026-07-08,Partially Received,Type: Inter-Department Transfer | Priority: High | From: Winding Line Transfer Rack | To: Rotor Balancing Cell | Reason: Move rework material for balancing support MO batch 038. | Note: Partial receipt recorded; balance pending verification.
39,MO202600000039,2026-07-09,8,4,5,2,1,2026-07-09,,,Approved,Type: Return to Stores | Priority: Medium | From: Winding Line Excess Material Trolley | To: Raw Material Warehouse - Fastener Rack | Reason: Return unused fastener kits after model changeover MO batch 039. | Note: Approved and waiting for movement team assignment.
40,MO202600000040,2026-07-10,6,3,2,3,,,,,Pending Approval,Type: Stores to Production | Priority: Medium | From: Raw Material Warehouse - Magnet Cage | To: Rotor Assembly Line 1 | Reason: Issue magnet sets for rotor build plan MO batch 040. | Note: Awaiting department approval before material handling.
41,MO202600000041,2026-07-11,7,3,2,5,,,,,Draft,Type: Stores to Maintenance | Priority: Urgent | From: Lubricants Store | To: Motor Test Maintenance Bay | Reason: Issue grease cartridges for preventive maintenance MO batch 041. | Note: Draft prepared for supervisor review.
42,MO202600000042,2026-07-12,9,4,3,5,,,,,Cancelled,Type: Production to Quality | Priority: Medium | From: Impregnation Oven Exit Area | To: Quality Inspection Bay 1 | Reason: Move varnished stators for quality release MO batch 042. | Note: Cancelled due to revised production or dispatch priority.
43,MO202600000043,2026-07-13,12,6,5,6,10,2026-07-13,3,2026-07-13,Received,Type: Production to Finished Goods | Priority: High | From: End of Line Test Area | To: Finished Goods Warehouse - Export Hold | Reason: Transfer export motors after packing checklist completion MO batch 043. | Note: Material received and acknowledged at destination.
44,MO202600000044,2026-07-14,1,1,6,6,8,2026-07-14,,,Approved,Type: Finished Goods to Dispatch | Priority: Urgent | From: Finished Goods Warehouse - Export Hold | To: Dispatch Staging Dock 3 | Reason: Transfer export hold motors for container stuffing MO batch 044. | Note: Approved and waiting for movement team assignment.
45,MO202600000045,2026-07-15,12,6,3,4,1,2026-07-15,11,2026-07-15,Issued,Type: Inter-Department Transfer | Priority: Low | From: Core Stacking Output Rack | To: Assembly Supermarket | Reason: Move line support tooling between production areas MO batch 045. | Note: Material issued from source area; receipt confirmation pending.
46,MO202600000046,2026-07-16,3,2,5,2,10,2026-07-16,5,2026-07-16,Received,Type: Return to Stores | Priority: High | From: Core Stacking Excess Rack | To: Raw Material Warehouse - Lamination Bay | Reason: Return excess stator laminations after yield adjustment MO batch 046. | Note: Material received and acknowledged at destination.
47,MO202600000047,2026-07-17,13,6,2,3,8,2026-07-17,3,2026-07-17,Issued,Type: Stores to Production | Priority: Medium | From: Electrical Store - Sleeve Bin | To: Harness Preparation Cell | Reason: Issue insulation sleeves for winding rework batch MO batch 047. | Note: Material issued from source area; receipt confirmation pending.
48,MO202600000048,2026-07-18,1,1,2,5,1,2026-07-18,7,2026-07-18,Partially Received,Type: Stores to Maintenance | Priority: Medium | From: Safety Stock Room | To: Shutdown Maintenance Cage | Reason: Move safety relays for shutdown replacement MO batch 048. | Note: Partial receipt recorded; balance pending verification.
49,MO202600000049,2026-07-19,4,2,3,5,10,2026-07-19,,,Approved,Type: Production to Quality | Priority: Urgent | From: Rotor Assembly Line 2 | To: Quality Hold Area | Reason: Move rotor assemblies for balancing audit MO batch 049. | Note: Approved and waiting for movement team assignment.
50,MO202600000050,2026-07-20,7,3,5,6,,,,,Pending Approval,Type: Production to Finished Goods | Priority: Medium | From: Packing Line - Motor Cell | To: Finished Goods Warehouse - Dispatch Ready Bay | Reason: Move motors after end-of-line test release MO batch 050. | Note: Awaiting department approval before material handling.
51,MO202600000051,2026-07-21,9,4,6,6,,,,,Draft,Type: Finished Goods to Dispatch | Priority: High | From: Finished Goods Warehouse - Dispatch Ready Bay | To: Export Packing Bay | Reason: Stage motors for customer pickup MO batch 051. | Note: Draft prepared for supervisor review.
52,MO202600000052,2026-07-22,7,3,3,4,,,,,Cancelled,Type: Inter-Department Transfer | Priority: Urgent | From: Rework Cell - Stator Bay | To: Rework Cell - Rotor Balancing | Reason: Transfer buffer material to assembly supermarket MO batch 052. | Note: Cancelled due to revised production or dispatch priority.
53,MO202600000053,2026-07-23,10,5,5,2,8,2026-07-23,11,2026-07-23,Received,Type: Return to Stores | Priority: Low | From: Final Assembly Changeover Trolley | To: Electrical Store - Connector Bin | Reason: Return unused connector sets after harness change MO batch 053. | Note: Material received and acknowledged at destination.
54,MO202600000054,2026-07-24,8,4,2,3,1,2026-07-24,,,Approved,Type: Stores to Production | Priority: High | From: Raw Material Warehouse - Fastener Rack | To: Assembly Line Feed Bay | Reason: Transfer fastener kits for motor assembly plan MO batch 054. | Note: Approved and waiting for movement team assignment.
55,MO202600000055,2026-07-25,9,4,2,5,10,2026-07-25,3,2026-07-25,Issued,Type: Stores to Maintenance | Priority: Medium | From: Electrical Store - Breaker Bin | To: Utility Repair Bench | Reason: Issue contactors for assembly line repair MO batch 055. | Note: Material issued from source area; receipt confirmation pending.
56,MO202600000056,2026-07-26,11,5,3,5,8,2026-07-26,7,2026-07-26,Received,Type: Production to Quality | Priority: Medium | From: Final Test Area | To: NVH Audit Bench | Reason: Move motors for noise and vibration audit MO batch 056. | Note: Material received and acknowledged at destination.
57,MO202600000057,2026-07-27,1,1,5,6,1,2026-07-27,11,2026-07-27,Issued,Type: Production to Finished Goods | Priority: Urgent | From: Quality Release Area | To: Finished Goods Warehouse - Audit Hold Rack | Reason: Move quality-released motors into finished goods storage MO batch 057. | Note: Material issued from source area; receipt confirmation pending.
58,MO202600000058,2026-07-28,4,2,6,6,10,2026-07-28,5,2026-07-28,Partially Received,Type: Finished Goods to Dispatch | Priority: Medium | From: Finished Goods Warehouse - Customer Hold Rack | To: Customer Pickup Bay | Reason: Move dispatch-ready motors for vehicle loading MO batch 058. | Note: Partial receipt recorded; balance pending verification.
59,MO202600000059,2026-07-29,1,1,3,4,8,2026-07-29,,,Approved,Type: Inter-Department Transfer | Priority: High | From: Production Utility Panel Area | To: Line Support Store | Reason: Move tagged assemblies for cross-line recovery MO batch 059. | Note: Approved and waiting for movement team assignment.
60,MO202600000060,2026-07-30,5,1,5,2,,,,,Pending Approval,Type: Return to Stores | Priority: Urgent | From: Maintenance Return Counter | To: Maintenance Spares Cage | Reason: Return serviceable spares after maintenance closure MO batch 060. | Note: Awaiting department approval before material handling.
61,MO202600000061,2026-07-31,3,2,2,3,,,,,Draft,Type: Stores to Production | Priority: Low | From: Raw Material Warehouse - Copper Rack A | To: Stator Winding Line 1 | Reason: Issue copper winding wire for stator production batch MO batch 061. | Note: Draft prepared for supervisor review.
62,MO202600000062,2026-08-01,4,2,2,5,,,,,Cancelled,Type: Stores to Maintenance | Priority: High | From: Maintenance Spares Cage | To: Assembly Maintenance Bay | Reason: Transfer bearing puller kit for test bench repair MO batch 062. | Note: Cancelled due to revised production or dispatch priority.
63,MO202600000063,2026-08-02,6,3,3,5,1,2026-08-02,3,2026-08-02,Received,Type: Production to Quality | Priority: Medium | From: Stator Winding Line 1 | To: Assembly Quality Gate | Reason: Move sample stators for insulation resistance testing MO batch 063. | Note: Material received and acknowledged at destination.
64,MO202600000064,2026-08-03,9,4,5,6,10,2026-08-03,,,Approved,Type: Production to Finished Goods | Priority: Medium | From: Final Assembly Line 1 | To: Finished Goods Warehouse - EV Motor Zone | Reason: Transfer completed traction motors after final torque verification MO batch 064. | Note: Approved and waiting for movement team assignment.
65,MO202600000065,2026-08-04,11,5,6,6,8,2026-08-04,11,2026-08-04,Issued,Type: Finished Goods to Dispatch | Priority: Urgent | From: Finished Goods Warehouse - EV Motor Zone | To: Dispatch Staging Dock 1 | Reason: Stage motors for OEM dispatch MO batch 065. | Note: Material issued from source area; receipt confirmation pending.
66,MO202600000066,2026-08-05,9,4,3,4,1,2026-08-05,5,2026-08-05,Received,Type: Inter-Department Transfer | Priority: Medium | From: Stator Buffer Area | To: Rotor Assembly Feed Bay | Reason: Transfer matched stator sets for rotor pairing MO batch 066. | Note: Material received and acknowledged at destination.
67,MO202600000067,2026-08-06,12,6,5,2,10,2026-08-06,3,2026-08-06,Issued,Type: Return to Stores | Priority: High | From: Assembly Line Surplus Bin | To: Raw Material Warehouse - Copper Rack A | Reason: Return unused copper wire after order closure MO batch 067. | Note: Material issued from source area; receipt confirmation pending.
68,MO202600000068,2026-08-07,10,5,2,3,8,2026-08-07,7,2026-08-07,Partially Received,Type: Stores to Production | Priority: Urgent | From: Raw Material Warehouse - Lamination Bay | To: Core Stacking Line | Reason: Move stator laminations for core stacking schedule MO batch 068. | Note: Partial receipt recorded; balance pending verification.
69,MO202600000069,2026-08-08,11,5,2,5,1,2026-08-08,,,Approved,Type: Stores to Maintenance | Priority: Low | From: Tool Crib - Calibration Shelf | To: Preventive Maintenance Bay | Reason: Move torque tools for scheduled calibration MO batch 069. | Note: Approved and waiting for movement team assignment.
70,MO202600000070,2026-08-09,13,6,3,5,,,,,Pending Approval,Type: Production to Quality | Priority: High | From: Core Stacking Line | To: Incoming Quality Bay | Reason: Move core stacks for dimensional inspection MO batch 070. | Note: Awaiting department approval before material handling.
71,MO202600000071,2026-08-10,4,2,5,6,,,,,Draft,Type: Production to Finished Goods | Priority: Medium | From: Final Assembly Line 2 | To: Finished Goods Warehouse - Premium Motor Aisle | Reason: Move auxiliary motors after QA label application MO batch 071. | Note: Draft prepared for supervisor review.
72,MO202600000072,2026-08-11,6,3,6,6,,,,,Cancelled,Type: Finished Goods to Dispatch | Priority: Medium | From: Finished Goods Warehouse - Premium Motor Aisle | To: Dispatch Staging Dock 2 | Reason: Move premium motors for export packing MO batch 072. | Note: Cancelled due to revised production or dispatch priority.
73,MO202600000073,2026-08-12,4,2,3,4,10,2026-08-12,11,2026-08-12,Received,Type: Inter-Department Transfer | Priority: Urgent | From: Winding Line Transfer Rack | To: Rotor Balancing Cell | Reason: Move rework material for balancing support MO batch 073. | Note: Material received and acknowledged at destination.
74,MO202600000074,2026-08-13,7,3,5,2,8,2026-08-13,,,Approved,Type: Return to Stores | Priority: Medium | From: Winding Line Excess Material Trolley | To: Raw Material Warehouse - Fastener Rack | Reason: Return unused fastener kits after model changeover MO batch 074. | Note: Approved and waiting for movement team assignment.
75,MO202600000075,2026-08-14,5,1,2,3,1,2026-08-14,3,2026-08-14,Issued,Type: Stores to Production | Priority: High | From: Raw Material Warehouse - Magnet Cage | To: Rotor Assembly Line 1 | Reason: Issue magnet sets for rotor build plan MO batch 075. | Note: Material issued from source area; receipt confirmation pending.
76,MO202600000076,2026-08-15,6,3,2,5,10,2026-08-15,7,2026-08-15,Received,Type: Stores to Maintenance | Priority: Urgent | From: Lubricants Store | To: Motor Test Maintenance Bay | Reason: Issue grease cartridges for preventive maintenance MO batch 076. | Note: Material received and acknowledged at destination.
77,MO202600000077,2026-08-16,8,4,3,5,8,2026-08-16,11,2026-08-16,Issued,Type: Production to Quality | Priority: Low | From: Impregnation Oven Exit Area | To: Quality Inspection Bay 1 | Reason: Move varnished stators for quality release MO batch 077. | Note: Material issued from source area; receipt confirmation pending.
78,MO202600000078,2026-08-17,11,5,5,6,1,2026-08-17,5,2026-08-17,Partially Received,Type: Production to Finished Goods | Priority: High | From: End of Line Test Area | To: Finished Goods Warehouse - Export Hold | Reason: Transfer export motors after packing checklist completion MO batch 078. | Note: Partial receipt recorded; balance pending verification.
79,MO202600000079,2026-08-18,13,6,6,6,10,2026-08-18,,,Approved,Type: Finished Goods to Dispatch | Priority: Medium | From: Finished Goods Warehouse - Export Hold | To: Dispatch Staging Dock 3 | Reason: Transfer export hold motors for container stuffing MO batch 079. | Note: Approved and waiting for movement team assignment.
80,MO202600000080,2026-08-19,11,5,3,4,,,,,Pending Approval,Type: Inter-Department Transfer | Priority: Medium | From: Core Stacking Output Rack | To: Assembly Supermarket | Reason: Move line support tooling between production areas MO batch 080. | Note: Awaiting department approval before material handling.
81,MO202600000081,2026-08-20,1,1,5,2,,,,,Draft,Type: Return to Stores | Priority: Urgent | From: Core Stacking Excess Rack | To: Raw Material Warehouse - Lamination Bay | Reason: Return excess stator laminations after yield adjustment MO batch 081. | Note: Draft prepared for supervisor review.
82,MO202600000082,2026-08-21,12,6,2,3,,,,,Cancelled,Type: Stores to Production | Priority: Medium | From: Electrical Store - Sleeve Bin | To: Harness Preparation Cell | Reason: Issue insulation sleeves for winding rework batch MO batch 082. | Note: Cancelled due to revised production or dispatch priority.
83,MO202600000083,2026-08-22,13,6,2,5,8,2026-08-22,3,2026-08-22,Received,Type: Stores to Maintenance | Priority: High | From: Safety Stock Room | To: Shutdown Maintenance Cage | Reason: Move safety relays for shutdown replacement MO batch 083. | Note: Material received and acknowledged at destination.
84,MO202600000084,2026-08-23,3,2,3,5,1,2026-08-23,,,Approved,Type: Production to Quality | Priority: Urgent | From: Rotor Assembly Line 2 | To: Quality Hold Area | Reason: Move rotor assemblies for balancing audit MO batch 084. | Note: Approved and waiting for movement team assignment.
85,MO202600000085,2026-08-24,6,3,5,6,10,2026-08-24,11,2026-08-24,Issued,Type: Production to Finished Goods | Priority: Low | From: Packing Line - Motor Cell | To: Finished Goods Warehouse - Dispatch Ready Bay | Reason: Move motors after end-of-line test release MO batch 085. | Note: Material issued from source area; receipt confirmation pending.
86,MO202600000086,2026-08-25,8,4,6,6,8,2026-08-25,5,2026-08-25,Received,Type: Finished Goods to Dispatch | Priority: High | From: Finished Goods Warehouse - Dispatch Ready Bay | To: Export Packing Bay | Reason: Stage motors for customer pickup MO batch 086. | Note: Material received and acknowledged at destination.
87,MO202600000087,2026-08-26,6,3,3,4,1,2026-08-26,3,2026-08-26,Issued,Type: Inter-Department Transfer | Priority: Medium | From: Rework Cell - Stator Bay | To: Rework Cell - Rotor Balancing | Reason: Transfer buffer material to assembly supermarket MO batch 087. | Note: Material issued from source area; receipt confirmation pending.
88,MO202600000088,2026-08-27,9,4,5,2,10,2026-08-27,7,2026-08-27,Partially Received,Type: Return to Stores | Priority: Medium | From: Final Assembly Changeover Trolley | To: Electrical Store - Connector Bin | Reason: Return unused connector sets after harness change MO batch 088. | Note: Partial receipt recorded; balance pending verification.
89,MO202600000089,2026-08-28,7,3,2,3,8,2026-08-28,,,Approved,Type: Stores to Production | Priority: Urgent | From: Raw Material Warehouse - Fastener Rack | To: Assembly Line Feed Bay | Reason: Transfer fastener kits for motor assembly plan MO batch 089. | Note: Approved and waiting for movement team assignment.
90,MO202600000090,2026-08-29,8,4,2,5,,,,,Pending Approval,Type: Stores to Maintenance | Priority: Medium | From: Electrical Store - Breaker Bin | To: Utility Repair Bench | Reason: Issue contactors for assembly line repair MO batch 090. | Note: Awaiting department approval before material handling.
91,MO202600000091,2026-08-30,10,5,3,5,,,,,Draft,Type: Production to Quality | Priority: High | From: Final Test Area | To: NVH Audit Bench | Reason: Move motors for noise and vibration audit MO batch 091. | Note: Draft prepared for supervisor review.
92,MO202600000092,2026-08-31,13,6,5,6,,,,,Cancelled,Type: Production to Finished Goods | Priority: Urgent | From: Quality Release Area | To: Finished Goods Warehouse - Audit Hold Rack | Reason: Move quality-released motors into finished goods storage MO batch 092. | Note: Cancelled due to revised production or dispatch priority.
93,MO202600000093,2026-09-01,3,2,6,6,1,2026-09-01,11,2026-09-01,Received,Type: Finished Goods to Dispatch | Priority: Low | From: Finished Goods Warehouse - Customer Hold Rack | To: Customer Pickup Bay | Reason: Move dispatch-ready motors for vehicle loading MO batch 093. | Note: Material received and acknowledged at destination.
94,MO202600000094,2026-09-02,13,6,3,4,10,2026-09-02,,,Approved,Type: Inter-Department Transfer | Priority: High | From: Production Utility Panel Area | To: Line Support Store | Reason: Move tagged assemblies for cross-line recovery MO batch 094. | Note: Approved and waiting for movement team assignment.
95,MO202600000095,2026-09-03,4,2,5,2,8,2026-09-03,3,2026-09-03,Issued,Type: Return to Stores | Priority: Medium | From: Maintenance Return Counter | To: Maintenance Spares Cage | Reason: Return serviceable spares after maintenance closure MO batch 095. | Note: Material issued from source area; receipt confirmation pending.
96,MO202600000096,2026-09-04,1,1,2,3,1,2026-09-04,7,2026-09-04,Received,Type: Stores to Production | Priority: Medium | From: Raw Material Warehouse - Copper Rack A | To: Stator Winding Line 1 | Reason: Issue copper winding wire for stator production batch MO batch 096. | Note: Material received and acknowledged at destination.
97,MO202600000097,2026-09-05,3,2,2,5,10,2026-09-05,11,2026-09-05,Issued,Type: Stores to Maintenance | Priority: Urgent | From: Maintenance Spares Cage | To: Assembly Maintenance Bay | Reason: Transfer bearing puller kit for test bench repair MO batch 097. | Note: Material issued from source area; receipt confirmation pending.
98,MO202600000098,2026-09-06,5,1,3,5,8,2026-09-06,5,2026-09-06,Partially Received,Type: Production to Quality | Priority: Medium | From: Stator Winding Line 1 | To: Assembly Quality Gate | Reason: Move sample stators for insulation resistance testing MO batch 098. | Note: Partial receipt recorded; balance pending verification.
