mo_id,mo_number,mo_date,requested_by,requested_by_department,from_department_id,to_department_id,move_order_type,priority,source_location,destination_location,reason,required_date,approved_by,approved_date,issued_by,issued_date,received_by,received_date,status,remarks
11,MO202606110001,2026-06-11,5,1,5,6,Production to Finished Goods,Urgent,Final Assembly Line 2,Finished Goods Warehouse - Premium Motor Aisle,Move auxiliary motors after QA label application MO batch 011.,2026-06-13,1,2026-06-11,7,2026-06-11,4,2026-06-13,Received,Material received and acknowledged at destination.
12,MO202606120001,2026-06-12,7,3,6,6,Finished Goods to Dispatch,Low,Finished Goods Warehouse - Premium Motor Aisle,Dispatch Staging Dock 2,Move premium motors for export packing MO batch 012.,2026-06-16,10,2026-06-12,11,2026-06-12,,,Issued,Material issued from source area; receipt confirmation pending.
13,MO202606130001,2026-06-13,5,1,3,4,Inter-Department Transfer,High,Winding Line Transfer Rack,Rotor Balancing Cell,Move rework material for balancing support MO batch 013.,2026-06-14,8,2026-06-13,5,2026-06-13,11,2026-06-14,Partially Received,Partial receipt recorded; balance pending verification.
14,MO202606140001,2026-06-14,8,4,5,2,Return to Stores,Medium,Winding Line Excess Material Trolley,Raw Material Warehouse - Fastener Rack,Return unused fastener kits after model changeover MO batch 014.,2026-06-16,1,2026-06-14,,,,,Approved,Approved and waiting for movement team assignment.
15,MO202606150001,2026-06-15,6,3,2,3,Stores to Production,Medium,Raw Material Warehouse - Magnet Cage,Rotor Assembly Line 1,Issue magnet sets for rotor build plan MO batch 015.,2026-06-18,,,,,,,Pending Approval,Awaiting department approval before material handling.
16,MO202606160001,2026-06-16,7,3,2,5,Stores to Maintenance,Urgent,Lubricants Store,Motor Test Maintenance Bay,Issue grease cartridges for preventive maintenance MO batch 016.,2026-06-19,,,,,,,Draft,Draft prepared for supervisor review.
17,MO202606170001,2026-06-17,9,4,3,5,Production to Quality,Medium,Impregnation Oven Exit Area,Quality Inspection Bay 1,Move varnished stators for quality release MO batch 017.,2026-06-18,,,,,,,Cancelled,Cancelled due to revised production or dispatch priority.
18,MO202606180001,2026-06-18,12,6,5,6,Production to Finished Goods,High,End of Line Test Area,Finished Goods Warehouse - Export Hold,Transfer export motors after packing checklist completion MO batch 018.,2026-06-20,10,2026-06-18,3,2026-06-18,3,2026-06-20,Received,Material received and acknowledged at destination.
19,MO202606190001,2026-06-19,1,1,6,6,Finished Goods to Dispatch,Urgent,Finished Goods Warehouse - Export Hold,Dispatch Staging Dock 3,Transfer export hold motors for container stuffing MO batch 019.,2026-06-21,8,2026-06-19,,,,,Approved,Approved and waiting for movement team assignment.
20,MO202606200001,2026-06-20,12,6,3,4,Inter-Department Transfer,Low,Core Stacking Output Rack,Assembly Supermarket,Move line support tooling between production areas MO batch 020.,2026-06-24,1,2026-06-20,11,2026-06-20,,,Issued,Material issued from source area; receipt confirmation pending.
21,MO202606210001,2026-06-21,3,2,5,2,Return to Stores,High,Core Stacking Excess Rack,Raw Material Warehouse - Lamination Bay,Return excess stator laminations after yield adjustment MO batch 021.,2026-06-22,10,2026-06-21,5,2026-06-21,13,2026-06-22,Received,Material received and acknowledged at destination.
22,MO202606220001,2026-06-22,13,6,2,3,Stores to Production,Medium,Electrical Store - Sleeve Bin,Harness Preparation Cell,Issue insulation sleeves for winding rework batch MO batch 022.,2026-06-24,8,2026-06-22,3,2026-06-22,,,Issued,Material issued from source area; receipt confirmation pending.
23,MO202606230001,2026-06-23,1,1,2,5,Stores to Maintenance,Medium,Safety Stock Room,Shutdown Maintenance Cage,Move safety relays for shutdown replacement MO batch 023.,2026-06-26,1,2026-06-23,7,2026-06-23,4,2026-06-26,Partially Received,Partial receipt recorded; balance pending verification.
24,MO202606240001,2026-06-24,4,2,3,5,Production to Quality,Urgent,Rotor Assembly Line 2,Quality Hold Area,Move rotor assemblies for balancing audit MO batch 024.,2026-06-27,10,2026-06-24,,,,,Approved,Approved and waiting for movement team assignment.
25,MO202606250001,2026-06-25,7,3,5,6,Production to Finished Goods,Medium,Packing Line - Motor Cell,Finished Goods Warehouse - Dispatch Ready Bay,Move motors after end-of-line test release MO batch 025.,2026-06-26,,,,,,,Pending Approval,Awaiting department approval before material handling.
26,MO202600000026,2026-06-26,4,2,2,3,Stores to Production,Medium,Raw Material Warehouse - Copper Rack A,Stator Winding Line 1,Issue copper winding wire for stator production batch MO batch 026.,2026-06-27,8,2026-06-26,5,2026-06-26,11,2026-06-27,Received,Material received and acknowledged at destination.
27,MO202600000027,2026-06-27,5,1,2,5,Stores to Maintenance,High,Maintenance Spares Cage,Assembly Maintenance Bay,Transfer bearing puller kit for test bench repair MO batch 027.,2026-06-29,1,2026-06-27,3,2026-06-27,,,Issued,Material issued from source area; receipt confirmation pending.
28,MO202600000028,2026-06-28,7,3,3,5,Production to Quality,Urgent,Stator Winding Line 1,Assembly Quality Gate,Move sample stators for insulation resistance testing MO batch 028.,2026-06-30,10,2026-06-28,7,2026-06-28,13,2026-06-30,Partially Received,Partial receipt recorded; balance pending verification.
29,MO202600000029,2026-06-29,10,5,5,6,Production to Finished Goods,Low,Final Assembly Line 1,Finished Goods Warehouse - EV Motor Zone,Transfer completed traction motors after final torque verification MO batch 029.,2026-07-03,8,2026-06-29,,,,,Approved,Approved and waiting for movement team assignment.
30,MO202600000030,2026-06-30,12,6,6,6,Finished Goods to Dispatch,High,Finished Goods Warehouse - EV Motor Zone,Dispatch Staging Dock 1,Stage motors for OEM dispatch MO batch 030.,2026-07-01,,,,,,,Pending Approval,Awaiting department approval before material handling.
31,MO202600000031,2026-07-01,10,5,3,4,Inter-Department Transfer,Medium,Stator Buffer Area,Rotor Assembly Feed Bay,Transfer matched stator sets for rotor pairing MO batch 031.,2026-07-03,,,,,,,Draft,Draft prepared for supervisor review.
32,MO202600000032,2026-07-02,13,6,5,2,Return to Stores,Medium,Assembly Line Surplus Bin,Raw Material Warehouse - Copper Rack A,Return unused copper wire after order closure MO batch 032.,2026-07-05,,,,,,,Cancelled,Cancelled due to revised production or dispatch priority.
33,MO202600000033,2026-07-03,11,5,2,3,Stores to Production,Urgent,Raw Material Warehouse - Lamination Bay,Core Stacking Line,Move stator laminations for core stacking schedule MO batch 033.,2026-07-06,1,2026-07-03,11,2026-07-03,12,2026-07-06,Received,Material received and acknowledged at destination.
34,MO202600000034,2026-07-04,12,6,2,5,Stores to Maintenance,Medium,Tool Crib - Calibration Shelf,Preventive Maintenance Bay,Move torque tools for scheduled calibration MO batch 034.,2026-07-05,10,2026-07-04,,,,,Approved,Approved and waiting for movement team assignment.
35,MO202600000035,2026-07-05,1,1,3,5,Production to Quality,High,Core Stacking Line,Incoming Quality Bay,Move core stacks for dimensional inspection MO batch 035.,2026-07-07,8,2026-07-05,3,2026-07-05,,,Issued,Material issued from source area; receipt confirmation pending.
36,MO202600000036,2026-07-06,5,1,5,6,Production to Finished Goods,Urgent,Final Assembly Line 2,Finished Goods Warehouse - Premium Motor Aisle,Move auxiliary motors after QA label application MO batch 036.,2026-07-08,1,2026-07-06,7,2026-07-06,4,2026-07-08,Received,Material received and acknowledged at destination.
37,MO202600000037,2026-07-07,7,3,6,6,Finished Goods to Dispatch,Low,Finished Goods Warehouse - Premium Motor Aisle,Dispatch Staging Dock 2,Move premium motors for export packing MO batch 037.,2026-07-11,10,2026-07-07,11,2026-07-07,,,Issued,Material issued from source area; receipt confirmation pending.
38,MO202600000038,2026-07-08,5,1,3,4,Inter-Department Transfer,High,Winding Line Transfer Rack,Rotor Balancing Cell,Move rework material for balancing support MO batch 038.,2026-07-09,8,2026-07-08,5,2026-07-08,11,2026-07-09,Partially Received,Partial receipt recorded; balance pending verification.
39,MO202600000039,2026-07-09,8,4,5,2,Return to Stores,Medium,Winding Line Excess Material Trolley,Raw Material Warehouse - Fastener Rack,Return unused fastener kits after model changeover MO batch 039.,2026-07-11,1,2026-07-09,,,,,Approved,Approved and waiting for movement team assignment.
40,MO202600000040,2026-07-10,6,3,2,3,Stores to Production,Medium,Raw Material Warehouse - Magnet Cage,Rotor Assembly Line 1,Issue magnet sets for rotor build plan MO batch 040.,2026-07-13,,,,,,,Pending Approval,Awaiting department approval before material handling.
41,MO202600000041,2026-07-11,7,3,2,5,Stores to Maintenance,Urgent,Lubricants Store,Motor Test Maintenance Bay,Issue grease cartridges for preventive maintenance MO batch 041.,2026-07-14,,,,,,,Draft,Draft prepared for supervisor review.
42,MO202600000042,2026-07-12,9,4,3,5,Production to Quality,Medium,Impregnation Oven Exit Area,Quality Inspection Bay 1,Move varnished stators for quality release MO batch 042.,2026-07-13,,,,,,,Cancelled,Cancelled due to revised production or dispatch priority.
43,MO202600000043,2026-07-13,12,6,5,6,Production to Finished Goods,High,End of Line Test Area,Finished Goods Warehouse - Export Hold,Transfer export motors after packing checklist completion MO batch 043.,2026-07-15,10,2026-07-13,3,2026-07-13,3,2026-07-15,Received,Material received and acknowledged at destination.
44,MO202600000044,2026-07-14,1,1,6,6,Finished Goods to Dispatch,Urgent,Finished Goods Warehouse - Export Hold,Dispatch Staging Dock 3,Transfer export hold motors for container stuffing MO batch 044.,2026-07-16,8,2026-07-14,,,,,Approved,Approved and waiting for movement team assignment.
45,MO202600000045,2026-07-15,12,6,3,4,Inter-Department Transfer,Low,Core Stacking Output Rack,Assembly Supermarket,Move line support tooling between production areas MO batch 045.,2026-07-19,1,2026-07-15,11,2026-07-15,,,Issued,Material issued from source area; receipt confirmation pending.
46,MO202600000046,2026-07-16,3,2,5,2,Return to Stores,High,Core Stacking Excess Rack,Raw Material Warehouse - Lamination Bay,Return excess stator laminations after yield adjustment MO batch 046.,2026-07-17,10,2026-07-16,5,2026-07-16,13,2026-07-17,Received,Material received and acknowledged at destination.
47,MO202600000047,2026-07-17,13,6,2,3,Stores to Production,Medium,Electrical Store - Sleeve Bin,Harness Preparation Cell,Issue insulation sleeves for winding rework batch MO batch 047.,2026-07-19,8,2026-07-17,3,2026-07-17,,,Issued,Material issued from source area; receipt confirmation pending.
48,MO202600000048,2026-07-18,1,1,2,5,Stores to Maintenance,Medium,Safety Stock Room,Shutdown Maintenance Cage,Move safety relays for shutdown replacement MO batch 048.,2026-07-21,1,2026-07-18,7,2026-07-18,4,2026-07-21,Partially Received,Partial receipt recorded; balance pending verification.
49,MO202600000049,2026-07-19,4,2,3,5,Production to Quality,Urgent,Rotor Assembly Line 2,Quality Hold Area,Move rotor assemblies for balancing audit MO batch 049.,2026-07-22,10,2026-07-19,,,,,Approved,Approved and waiting for movement team assignment.
50,MO202600000050,2026-07-20,7,3,5,6,Production to Finished Goods,Medium,Packing Line - Motor Cell,Finished Goods Warehouse - Dispatch Ready Bay,Move motors after end-of-line test release MO batch 050.,2026-07-21,,,,,,,Pending Approval,Awaiting department approval before material handling.
51,MO202600000051,2026-07-21,9,4,6,6,Finished Goods to Dispatch,High,Finished Goods Warehouse - Dispatch Ready Bay,Export Packing Bay,Stage motors for customer pickup MO batch 051.,2026-07-23,,,,,,,Draft,Draft prepared for supervisor review.
52,MO202600000052,2026-07-22,7,3,3,4,Inter-Department Transfer,Urgent,Rework Cell - Stator Bay,Rework Cell - Rotor Balancing,Transfer buffer material to assembly supermarket MO batch 052.,2026-07-24,,,,,,,Cancelled,Cancelled due to revised production or dispatch priority.
53,MO202600000053,2026-07-23,10,5,5,2,Return to Stores,Low,Final Assembly Changeover Trolley,Electrical Store - Connector Bin,Return unused connector sets after harness change MO batch 053.,2026-07-27,8,2026-07-23,11,2026-07-23,6,2026-07-27,Received,Material received and acknowledged at destination.
54,MO202600000054,2026-07-24,8,4,2,3,Stores to Production,High,Raw Material Warehouse - Fastener Rack,Assembly Line Feed Bay,Transfer fastener kits for motor assembly plan MO batch 054.,2026-07-25,1,2026-07-24,,,,,Approved,Approved and waiting for movement team assignment.
55,MO202600000055,2026-07-25,9,4,2,5,Stores to Maintenance,Medium,Electrical Store - Breaker Bin,Utility Repair Bench,Issue contactors for assembly line repair MO batch 055.,2026-07-27,10,2026-07-25,3,2026-07-25,,,Issued,Material issued from source area; receipt confirmation pending.
56,MO202600000056,2026-07-26,11,5,3,5,Production to Quality,Medium,Final Test Area,NVH Audit Bench,Move motors for noise and vibration audit MO batch 056.,2026-07-29,8,2026-07-26,7,2026-07-26,11,2026-07-29,Received,Material received and acknowledged at destination.
57,MO202600000057,2026-07-27,1,1,5,6,Production to Finished Goods,Urgent,Quality Release Area,Finished Goods Warehouse - Audit Hold Rack,Move quality-released motors into finished goods storage MO batch 057.,2026-07-30,1,2026-07-27,11,2026-07-27,,,Issued,Material issued from source area; receipt confirmation pending.
58,MO202600000058,2026-07-28,4,2,6,6,Finished Goods to Dispatch,Medium,Finished Goods Warehouse - Customer Hold Rack,Customer Pickup Bay,Move dispatch-ready motors for vehicle loading MO batch 058.,2026-07-29,10,2026-07-28,5,2026-07-28,13,2026-07-29,Partially Received,Partial receipt recorded; balance pending verification.
59,MO202600000059,2026-07-29,1,1,3,4,Inter-Department Transfer,High,Production Utility Panel Area,Line Support Store,Move tagged assemblies for cross-line recovery MO batch 059.,2026-07-31,8,2026-07-29,,,,,Approved,Approved and waiting for movement team assignment.
60,MO202600000060,2026-07-30,5,1,5,2,Return to Stores,Urgent,Maintenance Return Counter,Maintenance Spares Cage,Return serviceable spares after maintenance closure MO batch 060.,2026-08-01,,,,,,,Pending Approval,Awaiting department approval before material handling.
61,MO202600000061,2026-07-31,3,2,2,3,Stores to Production,Low,Raw Material Warehouse - Copper Rack A,Stator Winding Line 1,Issue copper winding wire for stator production batch MO batch 061.,2026-08-04,,,,,,,Draft,Draft prepared for supervisor review.
62,MO202600000062,2026-08-01,4,2,2,5,Stores to Maintenance,High,Maintenance Spares Cage,Assembly Maintenance Bay,Transfer bearing puller kit for test bench repair MO batch 062.,2026-08-02,,,,,,,Cancelled,Cancelled due to revised production or dispatch priority.
63,MO202600000063,2026-08-02,6,3,3,5,Production to Quality,Medium,Stator Winding Line 1,Assembly Quality Gate,Move sample stators for insulation resistance testing MO batch 063.,2026-08-04,1,2026-08-02,3,2026-08-02,12,2026-08-04,Received,Material received and acknowledged at destination.
64,MO202600000064,2026-08-03,9,4,5,6,Production to Finished Goods,Medium,Final Assembly Line 1,Finished Goods Warehouse - EV Motor Zone,Transfer completed traction motors after final torque verification MO batch 064.,2026-08-06,10,2026-08-03,,,,,Approved,Approved and waiting for movement team assignment.
65,MO202600000065,2026-08-04,11,5,6,6,Finished Goods to Dispatch,Urgent,Finished Goods Warehouse - EV Motor Zone,Dispatch Staging Dock 1,Stage motors for OEM dispatch MO batch 065.,2026-08-07,8,2026-08-04,11,2026-08-04,,,Issued,Material issued from source area; receipt confirmation pending.
66,MO202600000066,2026-08-05,9,4,3,4,Inter-Department Transfer,Medium,Stator Buffer Area,Rotor Assembly Feed Bay,Transfer matched stator sets for rotor pairing MO batch 066.,2026-08-06,1,2026-08-05,5,2026-08-05,4,2026-08-06,Received,Material received and acknowledged at destination.
67,MO202600000067,2026-08-06,12,6,5,2,Return to Stores,High,Assembly Line Surplus Bin,Raw Material Warehouse - Copper Rack A,Return unused copper wire after order closure MO batch 067.,2026-08-08,10,2026-08-06,3,2026-08-06,,,Issued,Material issued from source area; receipt confirmation pending.
68,MO202600000068,2026-08-07,10,5,2,3,Stores to Production,Urgent,Raw Material Warehouse - Lamination Bay,Core Stacking Line,Move stator laminations for core stacking schedule MO batch 068.,2026-08-09,8,2026-08-07,7,2026-08-07,11,2026-08-09,Partially Received,Partial receipt recorded; balance pending verification.
69,MO202600000069,2026-08-08,11,5,2,5,Stores to Maintenance,Low,Tool Crib - Calibration Shelf,Preventive Maintenance Bay,Move torque tools for scheduled calibration MO batch 069.,2026-08-12,1,2026-08-08,,,,,Approved,Approved and waiting for movement team assignment.
70,MO202600000070,2026-08-09,13,6,3,5,Production to Quality,High,Core Stacking Line,Incoming Quality Bay,Move core stacks for dimensional inspection MO batch 070.,2026-08-10,,,,,,,Pending Approval,Awaiting department approval before material handling.
71,MO202600000071,2026-08-10,4,2,5,6,Production to Finished Goods,Medium,Final Assembly Line 2,Finished Goods Warehouse - Premium Motor Aisle,Move auxiliary motors after QA label application MO batch 071.,2026-08-12,,,,,,,Draft,Draft prepared for supervisor review.
72,MO202600000072,2026-08-11,6,3,6,6,Finished Goods to Dispatch,Medium,Finished Goods Warehouse - Premium Motor Aisle,Dispatch Staging Dock 2,Move premium motors for export packing MO batch 072.,2026-08-14,,,,,,,Cancelled,Cancelled due to revised production or dispatch priority.
73,MO202600000073,2026-08-12,4,2,3,4,Inter-Department Transfer,Urgent,Winding Line Transfer Rack,Rotor Balancing Cell,Move rework material for balancing support MO batch 073.,2026-08-15,10,2026-08-12,11,2026-08-12,3,2026-08-15,Received,Material received and acknowledged at destination.
74,MO202600000074,2026-08-13,7,3,5,2,Return to Stores,Medium,Winding Line Excess Material Trolley,Raw Material Warehouse - Fastener Rack,Return unused fastener kits after model changeover MO batch 074.,2026-08-14,8,2026-08-13,,,,,Approved,Approved and waiting for movement team assignment.
75,MO202600000075,2026-08-14,5,1,2,3,Stores to Production,High,Raw Material Warehouse - Magnet Cage,Rotor Assembly Line 1,Issue magnet sets for rotor build plan MO batch 075.,2026-08-16,1,2026-08-14,3,2026-08-14,,,Issued,Material issued from source area; receipt confirmation pending.
76,MO202600000076,2026-08-15,6,3,2,5,Stores to Maintenance,Urgent,Lubricants Store,Motor Test Maintenance Bay,Issue grease cartridges for preventive maintenance MO batch 076.,2026-08-17,10,2026-08-15,7,2026-08-15,13,2026-08-17,Received,Material received and acknowledged at destination.
77,MO202600000077,2026-08-16,8,4,3,5,Production to Quality,Low,Impregnation Oven Exit Area,Quality Inspection Bay 1,Move varnished stators for quality release MO batch 077.,2026-08-20,8,2026-08-16,11,2026-08-16,,,Issued,Material issued from source area; receipt confirmation pending.
78,MO202600000078,2026-08-17,11,5,5,6,Production to Finished Goods,High,End of Line Test Area,Finished Goods Warehouse - Export Hold,Transfer export motors after packing checklist completion MO batch 078.,2026-08-18,1,2026-08-17,5,2026-08-17,4,2026-08-18,Partially Received,Partial receipt recorded; balance pending verification.
79,MO202600000079,2026-08-18,13,6,6,6,Finished Goods to Dispatch,Medium,Finished Goods Warehouse - Export Hold,Dispatch Staging Dock 3,Transfer export hold motors for container stuffing MO batch 079.,2026-08-20,10,2026-08-18,,,,,Approved,Approved and waiting for movement team assignment.
80,MO202600000080,2026-08-19,11,5,3,4,Inter-Department Transfer,Medium,Core Stacking Output Rack,Assembly Supermarket,Move line support tooling between production areas MO batch 080.,2026-08-22,,,,,,,Pending Approval,Awaiting department approval before material handling.
81,MO202600000081,2026-08-20,1,1,5,2,Return to Stores,Urgent,Core Stacking Excess Rack,Raw Material Warehouse - Lamination Bay,Return excess stator laminations after yield adjustment MO batch 081.,2026-08-23,,,,,,,Draft,Draft prepared for supervisor review.
82,MO202600000082,2026-08-21,12,6,2,3,Stores to Production,Medium,Electrical Store - Sleeve Bin,Harness Preparation Cell,Issue insulation sleeves for winding rework batch MO batch 082.,2026-08-22,,,,,,,Cancelled,Cancelled due to revised production or dispatch priority.
83,MO202600000083,2026-08-22,13,6,2,5,Stores to Maintenance,High,Safety Stock Room,Shutdown Maintenance Cage,Move safety relays for shutdown replacement MO batch 083.,2026-08-24,8,2026-08-22,3,2026-08-22,6,2026-08-24,Received,Material received and acknowledged at destination.
84,MO202600000084,2026-08-23,3,2,3,5,Production to Quality,Urgent,Rotor Assembly Line 2,Quality Hold Area,Move rotor assemblies for balancing audit MO batch 084.,2026-08-25,1,2026-08-23,,,,,Approved,Approved and waiting for movement team assignment.
85,MO202600000085,2026-08-24,6,3,5,6,Production to Finished Goods,Low,Packing Line - Motor Cell,Finished Goods Warehouse - Dispatch Ready Bay,Move motors after end-of-line test release MO batch 085.,2026-08-28,10,2026-08-24,11,2026-08-24,,,Issued,Material issued from source area; receipt confirmation pending.
86,MO202600000086,2026-08-25,8,4,6,6,Finished Goods to Dispatch,High,Finished Goods Warehouse - Dispatch Ready Bay,Export Packing Bay,Stage motors for customer pickup MO batch 086.,2026-08-26,8,2026-08-25,5,2026-08-25,11,2026-08-26,Received,Material received and acknowledged at destination.
87,MO202600000087,2026-08-26,6,3,3,4,Inter-Department Transfer,Medium,Rework Cell - Stator Bay,Rework Cell - Rotor Balancing,Transfer buffer material to assembly supermarket MO batch 087.,2026-08-28,1,2026-08-26,3,2026-08-26,,,Issued,Material issued from source area; receipt confirmation pending.
88,MO202600000088,2026-08-27,9,4,5,2,Return to Stores,Medium,Final Assembly Changeover Trolley,Electrical Store - Connector Bin,Return unused connector sets after harness change MO batch 088.,2026-08-30,10,2026-08-27,7,2026-08-27,13,2026-08-30,Partially Received,Partial receipt recorded; balance pending verification.
89,MO202600000089,2026-08-28,7,3,2,3,Stores to Production,Urgent,Raw Material Warehouse - Fastener Rack,Assembly Line Feed Bay,Transfer fastener kits for motor assembly plan MO batch 089.,2026-08-31,8,2026-08-28,,,,,Approved,Approved and waiting for movement team assignment.
90,MO202600000090,2026-08-29,8,4,2,5,Stores to Maintenance,Medium,Electrical Store - Breaker Bin,Utility Repair Bench,Issue contactors for assembly line repair MO batch 090.,2026-08-30,,,,,,,Pending Approval,Awaiting department approval before material handling.
91,MO202600000091,2026-08-30,10,5,3,5,Production to Quality,High,Final Test Area,NVH Audit Bench,Move motors for noise and vibration audit MO batch 091.,2026-09-01,,,,,,,Draft,Draft prepared for supervisor review.
92,MO202600000092,2026-08-31,13,6,5,6,Production to Finished Goods,Urgent,Quality Release Area,Finished Goods Warehouse - Audit Hold Rack,Move quality-released motors into finished goods storage MO batch 092.,2026-09-02,,,,,,,Cancelled,Cancelled due to revised production or dispatch priority.
93,MO202600000093,2026-09-01,3,2,6,6,Finished Goods to Dispatch,Low,Finished Goods Warehouse - Customer Hold Rack,Customer Pickup Bay,Move dispatch-ready motors for vehicle loading MO batch 093.,2026-09-05,1,2026-09-01,11,2026-09-01,12,2026-09-05,Received,Material received and acknowledged at destination.
94,MO202600000094,2026-09-02,13,6,3,4,Inter-Department Transfer,High,Production Utility Panel Area,Line Support Store,Move tagged assemblies for cross-line recovery MO batch 094.,2026-09-03,10,2026-09-02,,,,,Approved,Approved and waiting for movement team assignment.
95,MO202600000095,2026-09-03,4,2,5,2,Return to Stores,Medium,Maintenance Return Counter,Maintenance Spares Cage,Return serviceable spares after maintenance closure MO batch 095.,2026-09-05,8,2026-09-03,3,2026-09-03,,,Issued,Material issued from source area; receipt confirmation pending.
96,MO202600000096,2026-09-04,1,1,2,3,Stores to Production,Medium,Raw Material Warehouse - Copper Rack A,Stator Winding Line 1,Issue copper winding wire for stator production batch MO batch 096.,2026-09-07,1,2026-09-04,7,2026-09-04,4,2026-09-07,Received,Material received and acknowledged at destination.
97,MO202600000097,2026-09-05,3,2,2,5,Stores to Maintenance,Urgent,Maintenance Spares Cage,Assembly Maintenance Bay,Transfer bearing puller kit for test bench repair MO batch 097.,2026-09-08,10,2026-09-05,11,2026-09-05,,,Issued,Material issued from source area; receipt confirmation pending.
98,MO202600000098,2026-09-06,5,1,3,5,Production to Quality,Medium,Stator Winding Line 1,Assembly Quality Gate,Move sample stators for insulation resistance testing MO batch 098.,2026-09-07,8,2026-09-06,5,2026-09-06,11,2026-09-07,Partially Received,Partial receipt recorded; balance pending verification.
99,MO202600000099,2026-09-07,8,4,5,6,Production to Finished Goods,High,Final Assembly Line 1,Finished Goods Warehouse - EV Motor Zone,Transfer completed traction motors after final torque verification MO batch 099.,2026-09-09,1,2026-09-07,,,,,Approved,Approved and waiting for movement team assignment.
100,MO202600000100,2026-09-08,10,5,6,6,Finished Goods to Dispatch,Urgent,Finished Goods Warehouse - EV Motor Zone,Dispatch Staging Dock 1,Stage motors for OEM dispatch MO batch 100.,2026-09-10,,,,,,,Pending Approval,Awaiting department approval before material handling.
101,MO202600000101,2026-09-09,8,4,3,4,Inter-Department Transfer,Low,Stator Buffer Area,Rotor Assembly Feed Bay,Transfer matched stator sets for rotor pairing MO batch 101.,2026-09-13,,,,,,,Draft,Draft prepared for supervisor review.
102,MO202600000102,2026-09-10,11,5,5,2,Return to Stores,High,Assembly Line Surplus Bin,Raw Material Warehouse - Copper Rack A,Return unused copper wire after order closure MO batch 102.,2026-09-11,,,,,,,Cancelled,Cancelled due to revised production or dispatch priority.
103,MO202600000103,2026-09-11,9,4,2,3,Stores to Production,Medium,Raw Material Warehouse - Lamination Bay,Core Stacking Line,Move stator laminations for core stacking schedule MO batch 103.,2026-09-13,10,2026-09-11,3,2026-09-11,3,2026-09-13,Received,Material received and acknowledged at destination.
104,MO202600000104,2026-09-12,10,5,2,5,Stores to Maintenance,Medium,Tool Crib - Calibration Shelf,Preventive Maintenance Bay,Move torque tools for scheduled calibration MO batch 104.,2026-09-15,8,2026-09-12,,,,,Approved,Approved and waiting for movement team assignment.
