mo_id,mo_number,mo_date,requested_by,requested_by_department,from_department_id,to_department_id,move_order_type,priority,source_location,destination_location,reason,required_date,approved_by,approved_date,issued_by,issued_date,received_by,received_date,status,remarks
311,MO-2024-0311,2024-04-11,12,6,3,5,Stores to Maintenance,High,Maintenance Store,Maintenance Bay,Stores to Maintenance for motor manufacturing operations.,2024-04-12,,,,,,,Pending Approval,Generated internal movement.
312,MO-2024-0312,2024-04-12,13,6,5,3,Return to Stores,Urgent,Assembly Surplus,Central Warehouse,Return to Stores for motor manufacturing operations.,2024-04-14,4.0,2024-04-12,5.0,2024-04-12,6.0,2024-04-13,Received,Generated internal movement.
313,MO-2024-0313,2024-04-13,1,1,3,5,Stores to Production,Low,Central Warehouse,Production Line,Stores to Production for motor manufacturing operations.,2024-04-16,5.0,2024-04-13,6.0,2024-04-13,7.0,2024-04-14,Received,Generated internal movement.
314,MO-2024-0314,2024-04-14,3,2,5,5,Production to Quality,Medium,Production Line,Quality Inspection,Production to Quality for motor manufacturing operations.,2024-04-18,6.0,2024-04-14,7.0,2024-04-14,8.0,2024-04-15,Received,Generated internal movement.
315,MO-2024-0315,2024-04-15,4,2,5,6,Production to Finished Goods,High,Assembly,FG Store,Production to Finished Goods for motor manufacturing operations.,2024-04-20,7.0,2024-04-15,8.0,2024-04-15,9.0,2024-04-16,Received,Generated internal movement.
316,MO-2024-0316,2024-04-16,5,1,6,6,Finished Goods to Dispatch,Urgent,FG Store,Dispatch Dock,Finished Goods to Dispatch for motor manufacturing operations.,2024-04-17,,,,,,,Pending Approval,Generated internal movement.
317,MO-2024-0317,2024-04-17,6,3,3,5,Stores to Maintenance,Low,Maintenance Store,Maintenance Bay,Stores to Maintenance for motor manufacturing operations.,2024-04-19,9.0,2024-04-17,10.0,2024-04-17,11.0,2024-04-18,Received,Generated internal movement.
318,MO-2024-0318,2024-04-18,7,3,5,3,Return to Stores,Medium,Assembly Surplus,Central Warehouse,Return to Stores for motor manufacturing operations.,2024-04-21,10.0,2024-04-18,11.0,2024-04-18,12.0,2024-04-19,Received,Generated internal movement.
319,MO-2024-0319,2024-04-19,8,4,3,5,Stores to Production,High,Central Warehouse,Production Line,Stores to Production for motor manufacturing operations.,2024-04-23,11.0,2024-04-19,12.0,2024-04-19,13.0,2024-04-20,Received,Generated internal movement.
320,MO-2024-0320,2024-04-20,9,4,5,5,Production to Quality,Urgent,Production Line,Quality Inspection,Production to Quality for motor manufacturing operations.,2024-04-25,12.0,2024-04-20,13.0,2024-04-20,1.0,2024-04-21,Received,Generated internal movement.
321,MO-2024-0321,2024-04-21,10,5,5,6,Production to Finished Goods,Low,Assembly,FG Store,Production to Finished Goods for motor manufacturing operations.,2024-04-22,,,,,,,Pending Approval,Generated internal movement.
322,MO-2024-0322,2024-04-22,11,5,6,6,Finished Goods to Dispatch,Medium,FG Store,Dispatch Dock,Finished Goods to Dispatch for motor manufacturing operations.,2024-04-24,1.0,2024-04-22,3.0,2024-04-22,4.0,2024-04-23,Received,Generated internal movement.
323,MO-2024-0323,2024-04-23,12,6,3,5,Stores to Maintenance,High,Maintenance Store,Maintenance Bay,Stores to Maintenance for motor manufacturing operations.,2024-04-26,3.0,2024-04-23,4.0,2024-04-23,5.0,2024-04-24,Received,Generated internal movement.
324,MO-2024-0324,2024-04-24,13,6,5,3,Return to Stores,Urgent,Assembly Surplus,Central Warehouse,Return to Stores for motor manufacturing operations.,2024-04-28,4.0,2024-04-24,5.0,2024-04-24,6.0,2024-04-25,Received,Generated internal movement.
325,MO-2024-0325,2024-04-25,1,1,3,5,Stores to Production,Low,Central Warehouse,Production Line,Stores to Production for motor manufacturing operations.,2024-04-30,5.0,2024-04-25,6.0,2024-04-25,7.0,2024-04-26,Received,Generated internal movement.
326,MO-2024-0326,2024-04-26,3,2,5,5,Production to Quality,Medium,Production Line,Quality Inspection,Production to Quality for motor manufacturing operations.,2024-04-27,,,,,,,Pending Approval,Generated internal movement.
327,MO-2024-0327,2024-04-27,4,2,5,6,Production to Finished Goods,High,Assembly,FG Store,Production to Finished Goods for motor manufacturing operations.,2024-04-29,7.0,2024-04-27,8.0,2024-04-27,9.0,2024-04-28,Received,Generated internal movement.
328,MO-2024-0328,2024-04-28,5,1,6,6,Finished Goods to Dispatch,Urgent,FG Store,Dispatch Dock,Finished Goods to Dispatch for motor manufacturing operations.,2024-05-01,8.0,2024-04-28,9.0,2024-04-28,10.0,2024-04-29,Received,Generated internal movement.
329,MO-2024-0329,2024-04-29,6,3,3,5,Stores to Maintenance,Low,Maintenance Store,Maintenance Bay,Stores to Maintenance for motor manufacturing operations.,2024-05-03,9.0,2024-04-29,10.0,2024-04-29,11.0,2024-04-30,Received,Generated internal movement.
330,MO-2024-0330,2024-04-30,7,3,5,3,Return to Stores,Medium,Assembly Surplus,Central Warehouse,Return to Stores for motor manufacturing operations.,2024-05-05,10.0,2024-04-30,11.0,2024-04-30,12.0,2024-05-01,Received,Generated internal movement.
331,MO-2024-0331,2024-05-01,8,4,3,5,Stores to Production,High,Central Warehouse,Production Line,Stores to Production for motor manufacturing operations.,2024-05-02,,,,,,,Pending Approval,Generated internal movement.
332,MO-2024-0332,2024-05-02,9,4,5,5,Production to Quality,Urgent,Production Line,Quality Inspection,Production to Quality for motor manufacturing operations.,2024-05-04,12.0,2024-05-02,13.0,2024-05-02,1.0,2024-05-03,Received,Generated internal movement.
333,MO-2024-0333,2024-05-03,10,5,5,6,Production to Finished Goods,Low,Assembly,FG Store,Production to Finished Goods for motor manufacturing operations.,2024-05-06,13.0,2024-05-03,1.0,2024-05-03,3.0,2024-05-04,Received,Generated internal movement.
334,MO-2024-0334,2024-05-04,11,5,6,6,Finished Goods to Dispatch,Medium,FG Store,Dispatch Dock,Finished Goods to Dispatch for motor manufacturing operations.,2024-05-08,1.0,2024-05-04,3.0,2024-05-04,4.0,2024-05-05,Received,Generated internal movement.
335,MO-2024-0335,2024-05-05,12,6,3,5,Stores to Maintenance,High,Maintenance Store,Maintenance Bay,Stores to Maintenance for motor manufacturing operations.,2024-05-10,3.0,2024-05-05,4.0,2024-05-05,5.0,2024-05-06,Received,Generated internal movement.
336,MO-2024-0336,2024-05-06,13,6,5,3,Return to Stores,Urgent,Assembly Surplus,Central Warehouse,Return to Stores for motor manufacturing operations.,2024-05-07,,,,,,,Pending Approval,Generated internal movement.
337,MO-2024-0337,2024-05-07,1,1,3,5,Stores to Production,Low,Central Warehouse,Production Line,Stores to Production for motor manufacturing operations.,2024-05-09,5.0,2024-05-07,6.0,2024-05-07,7.0,2024-05-08,Received,Generated internal movement.
338,MO-2024-0338,2024-05-08,3,2,5,5,Production to Quality,Medium,Production Line,Quality Inspection,Production to Quality for motor manufacturing operations.,2024-05-11,6.0,2024-05-08,7.0,2024-05-08,8.0,2024-05-09,Received,Generated internal movement.
339,MO-2024-0339,2024-05-09,4,2,5,6,Production to Finished Goods,High,Assembly,FG Store,Production to Finished Goods for motor manufacturing operations.,2024-05-13,7.0,2024-05-09,8.0,2024-05-09,9.0,2024-05-10,Received,Generated internal movement.
340,MO-2024-0340,2024-05-10,5,1,6,6,Finished Goods to Dispatch,Urgent,FG Store,Dispatch Dock,Finished Goods to Dispatch for motor manufacturing operations.,2024-05-15,8.0,2024-05-10,9.0,2024-05-10,10.0,2024-05-11,Received,Generated internal movement.
341,MO-2024-0341,2024-05-11,6,3,3,5,Stores to Maintenance,Low,Maintenance Store,Maintenance Bay,Stores to Maintenance for motor manufacturing operations.,2024-05-12,,,,,,,Pending Approval,Generated internal movement.
342,MO-2024-0342,2024-05-12,7,3,5,3,Return to Stores,Medium,Assembly Surplus,Central Warehouse,Return to Stores for motor manufacturing operations.,2024-05-14,10.0,2024-05-12,11.0,2024-05-12,12.0,2024-05-13,Received,Generated internal movement.
343,MO-2024-0343,2024-05-13,8,4,3,5,Stores to Production,High,Central Warehouse,Production Line,Stores to Production for motor manufacturing operations.,2024-05-16,11.0,2024-05-13,12.0,2024-05-13,13.0,2024-05-14,Received,Generated internal movement.
344,MO-2024-0344,2024-05-14,9,4,5,5,Production to Quality,Urgent,Production Line,Quality Inspection,Production to Quality for motor manufacturing operations.,2024-05-18,12.0,2024-05-14,13.0,2024-05-14,1.0,2024-05-15,Received,Generated internal movement.
345,MO-2024-0345,2024-05-15,10,5,5,6,Production to Finished Goods,Low,Assembly,FG Store,Production to Finished Goods for motor manufacturing operations.,2024-05-20,13.0,2024-05-15,1.0,2024-05-15,3.0,2024-05-16,Received,Generated internal movement.
346,MO-2024-0346,2024-05-16,11,5,6,6,Finished Goods to Dispatch,Medium,FG Store,Dispatch Dock,Finished Goods to Dispatch for motor manufacturing operations.,2024-05-17,,,,,,,Pending Approval,Generated internal movement.
347,MO-2024-0347,2024-05-17,12,6,3,5,Stores to Maintenance,High,Maintenance Store,Maintenance Bay,Stores to Maintenance for motor manufacturing operations.,2024-05-19,3.0,2024-05-17,4.0,2024-05-17,5.0,2024-05-18,Received,Generated internal movement.
348,MO-2024-0348,2024-05-18,13,6,5,3,Return to Stores,Urgent,Assembly Surplus,Central Warehouse,Return to Stores for motor manufacturing operations.,2024-05-21,4.0,2024-05-18,5.0,2024-05-18,6.0,2024-05-19,Received,Generated internal movement.
349,MO-2024-0349,2024-05-19,1,1,3,5,Stores to Production,Low,Central Warehouse,Production Line,Stores to Production for motor manufacturing operations.,2024-05-23,5.0,2024-05-19,6.0,2024-05-19,7.0,2024-05-20,Received,Generated internal movement.
350,MO-2024-0350,2024-05-20,3,2,5,5,Production to Quality,Medium,Production Line,Quality Inspection,Production to Quality for motor manufacturing operations.,2024-05-25,6.0,2024-05-20,7.0,2024-05-20,8.0,2024-05-21,Received,Generated internal movement.
351,MO-2024-0351,2024-05-21,4,2,5,6,Production to Finished Goods,High,Assembly,FG Store,Production to Finished Goods for motor manufacturing operations.,2024-05-22,,,,,,,Pending Approval,Generated internal movement.
352,MO-2024-0352,2024-05-22,5,1,6,6,Finished Goods to Dispatch,Urgent,FG Store,Dispatch Dock,Finished Goods to Dispatch for motor manufacturing operations.,2024-05-24,8.0,2024-05-22,9.0,2024-05-22,10.0,2024-05-23,Received,Generated internal movement.
353,MO-2024-0353,2024-05-23,6,3,3,5,Stores to Maintenance,Low,Maintenance Store,Maintenance Bay,Stores to Maintenance for motor manufacturing operations.,2024-05-26,9.0,2024-05-23,10.0,2024-05-23,11.0,2024-05-24,Received,Generated internal movement.
354,MO-2024-0354,2024-05-24,7,3,5,3,Return to Stores,Medium,Assembly Surplus,Central Warehouse,Return to Stores for motor manufacturing operations.,2024-05-28,10.0,2024-05-24,11.0,2024-05-24,12.0,2024-05-25,Received,Generated internal movement.
355,MO-2024-0355,2024-05-25,8,4,3,5,Stores to Production,High,Central Warehouse,Production Line,Stores to Production for motor manufacturing operations.,2024-05-30,11.0,2024-05-25,12.0,2024-05-25,13.0,2024-05-26,Received,Generated internal movement.
356,MO-2024-0356,2024-05-26,9,4,5,5,Production to Quality,Urgent,Production Line,Quality Inspection,Production to Quality for motor manufacturing operations.,2024-05-27,,,,,,,Pending Approval,Generated internal movement.
357,MO-2024-0357,2024-05-27,10,5,5,6,Production to Finished Goods,Low,Assembly,FG Store,Production to Finished Goods for motor manufacturing operations.,2024-05-29,13.0,2024-05-27,1.0,2024-05-27,3.0,2024-05-28,Received,Generated internal movement.
358,MO-2024-0358,2024-05-28,11,5,6,6,Finished Goods to Dispatch,Medium,FG Store,Dispatch Dock,Finished Goods to Dispatch for motor manufacturing operations.,2024-05-31,1.0,2024-05-28,3.0,2024-05-28,4.0,2024-05-29,Received,Generated internal movement.
359,MO-2024-0359,2024-05-29,12,6,3,5,Stores to Maintenance,High,Maintenance Store,Maintenance Bay,Stores to Maintenance for motor manufacturing operations.,2024-06-02,3.0,2024-05-29,4.0,2024-05-29,5.0,2024-05-30,Received,Generated internal movement.
360,MO-2024-0360,2024-05-30,13,6,5,3,Return to Stores,Urgent,Assembly Surplus,Central Warehouse,Return to Stores for motor manufacturing operations.,2024-06-04,4.0,2024-05-30,5.0,2024-05-30,6.0,2024-05-31,Received,Generated internal movement.
361,MO-2024-0361,2024-05-31,1,1,3,5,Stores to Production,Low,Central Warehouse,Production Line,Stores to Production for motor manufacturing operations.,2024-06-01,,,,,,,Pending Approval,Generated internal movement.
362,MO-2024-0362,2024-06-01,3,2,5,5,Production to Quality,Medium,Production Line,Quality Inspection,Production to Quality for motor manufacturing operations.,2024-06-03,6.0,2024-06-01,7.0,2024-06-01,8.0,2024-06-02,Received,Generated internal movement.
363,MO-2024-0363,2024-06-02,4,2,5,6,Production to Finished Goods,High,Assembly,FG Store,Production to Finished Goods for motor manufacturing operations.,2024-06-05,7.0,2024-06-02,8.0,2024-06-02,9.0,2024-06-03,Received,Generated internal movement.
364,MO-2024-0364,2024-06-03,5,1,6,6,Finished Goods to Dispatch,Urgent,FG Store,Dispatch Dock,Finished Goods to Dispatch for motor manufacturing operations.,2024-06-07,8.0,2024-06-03,9.0,2024-06-03,10.0,2024-06-04,Received,Generated internal movement.
365,MO-2024-0365,2024-06-04,6,3,3,5,Stores to Maintenance,Low,Maintenance Store,Maintenance Bay,Stores to Maintenance for motor manufacturing operations.,2024-06-09,9.0,2024-06-04,10.0,2024-06-04,11.0,2024-06-05,Received,Generated internal movement.
366,MO-2024-0366,2024-06-05,7,3,5,3,Return to Stores,Medium,Assembly Surplus,Central Warehouse,Return to Stores for motor manufacturing operations.,2024-06-06,,,,,,,Pending Approval,Generated internal movement.
367,MO-2024-0367,2024-06-06,8,4,3,5,Stores to Production,High,Central Warehouse,Production Line,Stores to Production for motor manufacturing operations.,2024-06-08,11.0,2024-06-06,12.0,2024-06-06,13.0,2024-06-07,Received,Generated internal movement.
368,MO-2024-0368,2024-06-07,9,4,5,5,Production to Quality,Urgent,Production Line,Quality Inspection,Production to Quality for motor manufacturing operations.,2024-06-10,12.0,2024-06-07,13.0,2024-06-07,1.0,2024-06-08,Received,Generated internal movement.
369,MO-2024-0369,2024-06-08,10,5,5,6,Production to Finished Goods,Low,Assembly,FG Store,Production to Finished Goods for motor manufacturing operations.,2024-06-12,13.0,2024-06-08,1.0,2024-06-08,3.0,2024-06-09,Received,Generated internal movement.
370,MO-2024-0370,2024-06-09,11,5,6,6,Finished Goods to Dispatch,Medium,FG Store,Dispatch Dock,Finished Goods to Dispatch for motor manufacturing operations.,2024-06-14,1.0,2024-06-09,3.0,2024-06-09,4.0,2024-06-10,Received,Generated internal movement.
371,MO-2024-0371,2024-06-10,12,6,3,5,Stores to Maintenance,High,Maintenance Store,Maintenance Bay,Stores to Maintenance for motor manufacturing operations.,2024-06-11,,,,,,,Pending Approval,Generated internal movement.
372,MO-2024-0372,2024-06-11,13,6,5,3,Return to Stores,Urgent,Assembly Surplus,Central Warehouse,Return to Stores for motor manufacturing operations.,2024-06-13,4.0,2024-06-11,5.0,2024-06-11,6.0,2024-06-12,Received,Generated internal movement.
373,MO-2024-0373,2024-06-12,1,1,3,5,Stores to Production,Low,Central Warehouse,Production Line,Stores to Production for motor manufacturing operations.,2024-06-15,5.0,2024-06-12,6.0,2024-06-12,7.0,2024-06-13,Received,Generated internal movement.
374,MO-2024-0374,2024-06-13,3,2,5,5,Production to Quality,Medium,Production Line,Quality Inspection,Production to Quality for motor manufacturing operations.,2024-06-17,6.0,2024-06-13,7.0,2024-06-13,8.0,2024-06-14,Received,Generated internal movement.
375,MO-2024-0375,2024-06-14,4,2,5,6,Production to Finished Goods,High,Assembly,FG Store,Production to Finished Goods for motor manufacturing operations.,2024-06-19,7.0,2024-06-14,8.0,2024-06-14,9.0,2024-06-15,Received,Generated internal movement.
376,MO-2024-0376,2024-06-15,5,1,6,6,Finished Goods to Dispatch,Urgent,FG Store,Dispatch Dock,Finished Goods to Dispatch for motor manufacturing operations.,2024-06-16,,,,,,,Pending Approval,Generated internal movement.
377,MO-2024-0377,2024-06-16,6,3,3,5,Stores to Maintenance,Low,Maintenance Store,Maintenance Bay,Stores to Maintenance for motor manufacturing operations.,2024-06-18,9.0,2024-06-16,10.0,2024-06-16,11.0,2024-06-17,Received,Generated internal movement.
378,MO-2024-0378,2024-06-17,7,3,5,3,Return to Stores,Medium,Assembly Surplus,Central Warehouse,Return to Stores for motor manufacturing operations.,2024-06-20,10.0,2024-06-17,11.0,2024-06-17,12.0,2024-06-18,Received,Generated internal movement.
379,MO-2024-0379,2024-06-18,8,4,3,5,Stores to Production,High,Central Warehouse,Production Line,Stores to Production for motor manufacturing operations.,2024-06-22,11.0,2024-06-18,12.0,2024-06-18,13.0,2024-06-19,Received,Generated internal movement.
380,MO-2024-0380,2024-06-19,9,4,5,5,Production to Quality,Urgent,Production Line,Quality Inspection,Production to Quality for motor manufacturing operations.,2024-06-24,12.0,2024-06-19,13.0,2024-06-19,1.0,2024-06-20,Received,Generated internal movement.
381,MO-2024-0381,2024-06-20,10,5,5,6,Production to Finished Goods,Low,Assembly,FG Store,Production to Finished Goods for motor manufacturing operations.,2024-06-21,,,,,,,Pending Approval,Generated internal movement.
382,MO-2024-0382,2024-06-21,11,5,6,6,Finished Goods to Dispatch,Medium,FG Store,Dispatch Dock,Finished Goods to Dispatch for motor manufacturing operations.,2024-06-23,1.0,2024-06-21,3.0,2024-06-21,4.0,2024-06-22,Received,Generated internal movement.
383,MO-2024-0383,2024-06-22,12,6,3,5,Stores to Maintenance,High,Maintenance Store,Maintenance Bay,Stores to Maintenance for motor manufacturing operations.,2024-06-25,3.0,2024-06-22,4.0,2024-06-22,5.0,2024-06-23,Received,Generated internal movement.
384,MO-2024-0384,2024-06-23,13,6,5,3,Return to Stores,Urgent,Assembly Surplus,Central Warehouse,Return to Stores for motor manufacturing operations.,2024-06-27,4.0,2024-06-23,5.0,2024-06-23,6.0,2024-06-24,Received,Generated internal movement.
385,MO-2024-0385,2024-06-24,1,1,3,5,Stores to Production,Low,Central Warehouse,Production Line,Stores to Production for motor manufacturing operations.,2024-06-29,5.0,2024-06-24,6.0,2024-06-24,7.0,2024-06-25,Received,Generated internal movement.
386,MO-2024-0386,2024-06-25,3,2,5,5,Production to Quality,Medium,Production Line,Quality Inspection,Production to Quality for motor manufacturing operations.,2024-06-26,,,,,,,Pending Approval,Generated internal movement.
387,MO-2024-0387,2024-06-26,4,2,5,6,Production to Finished Goods,High,Assembly,FG Store,Production to Finished Goods for motor manufacturing operations.,2024-06-28,7.0,2024-06-26,8.0,2024-06-26,9.0,2024-06-27,Received,Generated internal movement.
388,MO-2024-0388,2024-06-27,5,1,6,6,Finished Goods to Dispatch,Urgent,FG Store,Dispatch Dock,Finished Goods to Dispatch for motor manufacturing operations.,2024-06-30,8.0,2024-06-27,9.0,2024-06-27,10.0,2024-06-28,Received,Generated internal movement.
389,MO-2024-0389,2024-06-28,6,3,3,5,Stores to Maintenance,Low,Maintenance Store,Maintenance Bay,Stores to Maintenance for motor manufacturing operations.,2024-07-02,9.0,2024-06-28,10.0,2024-06-28,11.0,2024-06-29,Received,Generated internal movement.
390,MO-2024-0390,2024-06-29,7,3,5,3,Return to Stores,Medium,Assembly Surplus,Central Warehouse,Return to Stores for motor manufacturing operations.,2024-07-04,10.0,2024-06-29,11.0,2024-06-29,12.0,2024-06-30,Received,Generated internal movement.
391,MO-2024-0391,2024-06-30,8,4,3,5,Stores to Production,High,Central Warehouse,Production Line,Stores to Production for motor manufacturing operations.,2024-07-01,,,,,,,Pending Approval,Generated internal movement.
392,MO-2024-0392,2024-07-01,9,4,5,5,Production to Quality,Urgent,Production Line,Quality Inspection,Production to Quality for motor manufacturing operations.,2024-07-03,12.0,2024-07-01,13.0,2024-07-01,1.0,2024-07-02,Received,Generated internal movement.
393,MO-2024-0393,2024-07-02,10,5,5,6,Production to Finished Goods,Low,Assembly,FG Store,Production to Finished Goods for motor manufacturing operations.,2024-07-05,13.0,2024-07-02,1.0,2024-07-02,3.0,2024-07-03,Received,Generated internal movement.
394,MO-2024-0394,2024-07-03,11,5,6,6,Finished Goods to Dispatch,Medium,FG Store,Dispatch Dock,Finished Goods to Dispatch for motor manufacturing operations.,2024-07-07,1.0,2024-07-03,3.0,2024-07-03,4.0,2024-07-04,Received,Generated internal movement.
395,MO-2024-0395,2024-07-04,12,6,3,5,Stores to Maintenance,High,Maintenance Store,Maintenance Bay,Stores to Maintenance for motor manufacturing operations.,2024-07-09,3.0,2024-07-04,4.0,2024-07-04,5.0,2024-07-05,Received,Generated internal movement.
396,MO-2024-0396,2024-07-05,13,6,5,3,Return to Stores,Urgent,Assembly Surplus,Central Warehouse,Return to Stores for motor manufacturing operations.,2024-07-06,,,,,,,Pending Approval,Generated internal movement.
397,MO-2024-0397,2024-07-06,1,1,3,5,Stores to Production,Low,Central Warehouse,Production Line,Stores to Production for motor manufacturing operations.,2024-07-08,5.0,2024-07-06,6.0,2024-07-06,7.0,2024-07-07,Received,Generated internal movement.
398,MO-2024-0398,2024-07-07,3,2,5,5,Production to Quality,Medium,Production Line,Quality Inspection,Production to Quality for motor manufacturing operations.,2024-07-10,6.0,2024-07-07,7.0,2024-07-07,8.0,2024-07-08,Received,Generated internal movement.
399,MO-2024-0399,2024-07-08,4,2,5,6,Production to Finished Goods,High,Assembly,FG Store,Production to Finished Goods for motor manufacturing operations.,2024-07-12,7.0,2024-07-08,8.0,2024-07-08,9.0,2024-07-09,Received,Generated internal movement.
400,MO-2024-0400,2024-07-09,5,1,6,6,Finished Goods to Dispatch,Urgent,FG Store,Dispatch Dock,Finished Goods to Dispatch for motor manufacturing operations.,2024-07-14,8.0,2024-07-09,9.0,2024-07-09,10.0,2024-07-10,Received,Generated internal movement.
401,MO-2024-0401,2024-07-10,6,3,3,5,Stores to Maintenance,Low,Maintenance Store,Maintenance Bay,Stores to Maintenance for motor manufacturing operations.,2024-07-11,,,,,,,Pending Approval,Generated internal movement.
402,MO-2024-0402,2024-07-11,7,3,5,3,Return to Stores,Medium,Assembly Surplus,Central Warehouse,Return to Stores for motor manufacturing operations.,2024-07-13,10.0,2024-07-11,11.0,2024-07-11,12.0,2024-07-12,Received,Generated internal movement.
403,MO-2024-0403,2024-07-12,8,4,3,5,Stores to Production,High,Central Warehouse,Production Line,Stores to Production for motor manufacturing operations.,2024-07-15,11.0,2024-07-12,12.0,2024-07-12,13.0,2024-07-13,Received,Generated internal movement.
404,MO-2024-0404,2024-07-13,9,4,5,5,Production to Quality,Urgent,Production Line,Quality Inspection,Production to Quality for motor manufacturing operations.,2024-07-17,12.0,2024-07-13,13.0,2024-07-13,1.0,2024-07-14,Received,Generated internal movement.
405,MO-2024-0405,2024-07-14,10,5,5,6,Production to Finished Goods,Low,Assembly,FG Store,Production to Finished Goods for motor manufacturing operations.,2024-07-19,13.0,2024-07-14,1.0,2024-07-14,3.0,2024-07-15,Received,Generated internal movement.
406,MO-2024-0406,2024-07-15,11,5,6,6,Finished Goods to Dispatch,Medium,FG Store,Dispatch Dock,Finished Goods to Dispatch for motor manufacturing operations.,2024-07-16,,,,,,,Pending Approval,Generated internal movement.
407,MO-2024-0407,2024-07-16,12,6,3,5,Stores to Maintenance,High,Maintenance Store,Maintenance Bay,Stores to Maintenance for motor manufacturing operations.,2024-07-18,3.0,2024-07-16,4.0,2024-07-16,5.0,2024-07-17,Received,Generated internal movement.
408,MO-2024-0408,2024-07-17,13,6,5,3,Return to Stores,Urgent,Assembly Surplus,Central Warehouse,Return to Stores for motor manufacturing operations.,2024-07-20,4.0,2024-07-17,5.0,2024-07-17,6.0,2024-07-18,Received,Generated internal movement.
409,MO-2024-0409,2024-07-18,1,1,3,5,Stores to Production,Low,Central Warehouse,Production Line,Stores to Production for motor manufacturing operations.,2024-07-22,5.0,2024-07-18,6.0,2024-07-18,7.0,2024-07-19,Received,Generated internal movement.
410,MO-2024-0410,2024-07-19,3,2,5,5,Production to Quality,Medium,Production Line,Quality Inspection,Production to Quality for motor manufacturing operations.,2024-07-24,6.0,2024-07-19,7.0,2024-07-19,8.0,2024-07-20,Received,Generated internal movement.
411,MO-2024-0411,2024-07-20,4,2,5,6,Production to Finished Goods,High,Assembly,FG Store,Production to Finished Goods for motor manufacturing operations.,2024-07-21,,,,,,,Pending Approval,Generated internal movement.
412,MO-2024-0412,2024-07-21,5,1,6,6,Finished Goods to Dispatch,Urgent,FG Store,Dispatch Dock,Finished Goods to Dispatch for motor manufacturing operations.,2024-07-23,8.0,2024-07-21,9.0,2024-07-21,10.0,2024-07-22,Received,Generated internal movement.
413,MO-2024-0413,2024-07-22,6,3,3,5,Stores to Maintenance,Low,Maintenance Store,Maintenance Bay,Stores to Maintenance for motor manufacturing operations.,2024-07-25,9.0,2024-07-22,10.0,2024-07-22,11.0,2024-07-23,Received,Generated internal movement.
414,MO-2024-0414,2024-07-23,7,3,5,3,Return to Stores,Medium,Assembly Surplus,Central Warehouse,Return to Stores for motor manufacturing operations.,2024-07-27,10.0,2024-07-23,11.0,2024-07-23,12.0,2024-07-24,Received,Generated internal movement.
415,MO-2024-0415,2024-07-24,8,4,3,5,Stores to Production,High,Central Warehouse,Production Line,Stores to Production for motor manufacturing operations.,2024-07-29,11.0,2024-07-24,12.0,2024-07-24,13.0,2024-07-25,Received,Generated internal movement.
