mo_item_id,mo_id,item_id,requested_quantity,issued_quantity,uom,unit_cost,line_amount,source_location,destination_location,required_date,movement_date,remarks
18,18,102,36.000,36.000,No,82000.00,2952000.00,End of Line Test Area,Finished Goods Warehouse - Export Hold,2026-06-20,2026-06-18,Finished goods receipt movement for PMSM Motor 7.5 kW against MO202606180001.
19,19,100,38.000,38.000,No,18500.00,703000.00,Finished Goods Warehouse - Export Hold,Dispatch Staging Dock 3,2026-06-21,2026-06-19,Dispatch staging movement for BLDC Motor 1.5 kW against MO202606190001.
20,20,36,160.000,160.000,No,180.00,28800.00,Core Stacking Output Rack,Assembly Supermarket,2026-06-24,2026-06-20,Assembly transfer for Terminal Block Heavy Duty against MO202606200001.
21,21,31,79.000,79.000,kg,920.00,72680.00,Core Stacking Excess Rack,Raw Material Warehouse - Lamination Bay,2026-06-22,2026-06-21,Return or scrap segregation for Copper Wire 1.60 mm against MO202606210001.
22,22,30,101.000,101.000,kg,880.00,88880.00,Electrical Store - Sleeve Bin,Harness Preparation Cell,2026-06-24,2026-06-22,Production issue for Copper Wire 1.20 mm against MO202606220001.
23,23,24,32.000,32.000,No,220.00,7040.00,Safety Stock Room,Shutdown Maintenance Cage,2026-06-26,2026-06-23,Maintenance spare issue for Bearing 6205-2RS against MO202606230001.
24,24,6,398.000,398.000,No,5000.00,1990000.00,Rotor Assembly Line 2,Quality Hold Area,2026-06-27,2026-06-24,Quality inspection sample for Rotor Core 7.5 kW against MO202606240001.
25,25,100,50.000,50.000,No,18500.00,925000.00,Packing Line - Motor Cell,Finished Goods Warehouse - Dispatch Ready Bay,2026-06-26,2026-06-25,Finished goods receipt movement for BLDC Motor 1.5 kW against MO202606250001.
26,26,3,466.000,466.000,No,6200.00,2889200.00,Raw Material Warehouse - Copper Rack A,Stator Winding Line 1,2026-06-27,2026-06-26,Production issue for Stator Core 7.5 kW against MO202600000026.
27,27,65,228.000,228.000,No,12.00,2736.00,Maintenance Spares Cage,Assembly Maintenance Bay,2026-06-29,2026-06-27,Maintenance spare issue for Hex Bolt M835 against MO202600000027.
28,28,39,108.000,108.000,No,45.00,4860.00,Stator Winding Line 1,Assembly Quality Gate,2026-06-30,2026-06-28,Quality inspection sample for Hall Sensor against MO202600000028.
29,29,101,8.000,8.000,No,36500.00,292000.00,Final Assembly Line 1,Finished Goods Warehouse - EV Motor Zone,2026-07-03,2026-06-29,Finished goods receipt movement for PMSM Motor 3 kW against MO202600000029.
30,30,102,10.000,10.000,No,82000.00,820000.00,Finished Goods Warehouse - EV Motor Zone,Dispatch Staging Dock 1,2026-07-01,2026-06-30,Dispatch staging movement for PMSM Motor 7.5 kW against MO202600000030.
31,31,26,162.000,162.000,No,15.00,2430.00,Stator Buffer Area,Rotor Assembly Feed Bay,2026-07-03,2026-07-01,Assembly transfer for O-Ring Standard against MO202600000031.
32,32,65,358.000,358.000,No,12.00,4296.00,Assembly Line Surplus Bin,Raw Material Warehouse - Copper Rack A,2026-07-05,2026-07-02,Return or scrap segregation for Hex Bolt M835 against MO202600000032.
33,33,55,198.000,198.000,No,8.00,1584.00,Raw Material Warehouse - Lamination Bay,Core Stacking Line,2026-07-06,2026-07-03,Production issue for Slot Liner 0.25 mm against MO202600000033.
34,34,85,27063.000,27063.000,g,1.80,48713.40,Tool Crib - Calibration Shelf,Preventive Maintenance Bay,2026-07-05,2026-07-04,Maintenance spare issue for Solder Wire against MO202600000034.
35,35,95,38.000,38.000,No,3.00,114.00,Core Stacking Line,Incoming Quality Bay,2026-07-07,2026-07-05,Quality inspection sample for QR Code Label against MO202600000035.
36,36,102,22.000,22.000,No,82000.00,1804000.00,Final Assembly Line 2,Finished Goods Warehouse - Premium Motor Aisle,2026-07-08,2026-07-06,Finished goods receipt movement for PMSM Motor 7.5 kW against MO202600000036.
37,37,100,24.000,24.000,No,18500.00,444000.00,Finished Goods Warehouse - Premium Motor Aisle,Dispatch Staging Dock 2,2026-07-11,2026-07-07,Dispatch staging movement for BLDC Motor 1.5 kW against MO202600000037.
38,38,64,33.000,33.000,No,5.00,165.00,Winding Line Transfer Rack,Rotor Balancing Cell,2026-07-09,2026-07-08,Assembly transfer for Hex Bolt M625 against MO202600000038.
39,39,31,93.000,93.000,kg,920.00,85560.00,Winding Line Excess Material Trolley,Raw Material Warehouse - Fastener Rack,2026-07-11,2026-07-09,Return or scrap segregation for Copper Wire 1.60 mm against MO202600000039.
40,40,62,394.000,394.000,m,45.00,17730.00,Raw Material Warehouse - Magnet Cage,Rotor Assembly Line 1,2026-07-13,2026-07-10,Production issue for Heat Shrink Sleeve 12 mm against MO202600000040.
41,41,53,146.000,146.000,No,3.00,438.00,Lubricants Store,Motor Test Maintenance Bay,2026-07-14,2026-07-11,Maintenance spare issue for Cable Tie 200 mm against MO202600000041.
42,42,6,108.000,108.000,No,5000.00,540000.00,Impregnation Oven Exit Area,Quality Inspection Bay 1,2026-07-13,2026-07-12,Quality inspection sample for Rotor Core 7.5 kW against MO202600000042.
43,43,100,36.000,36.000,No,18500.00,666000.00,End of Line Test Area,Finished Goods Warehouse - Export Hold,2026-07-15,2026-07-13,Finished goods receipt movement for BLDC Motor 1.5 kW against MO202600000043.
44,44,101,38.000,38.000,No,36500.00,1387000.00,Finished Goods Warehouse - Export Hold,Dispatch Staging Dock 3,2026-07-16,2026-07-14,Dispatch staging movement for PMSM Motor 3 kW against MO202600000044.
45,45,71,215.000,215.000,No,2.50,537.50,Core Stacking Output Rack,Assembly Supermarket,2026-07-19,2026-07-15,Assembly transfer for Flat Washer M8 against MO202600000045.
46,46,23,66.000,66.000,No,120.00,7920.00,Core Stacking Excess Rack,Raw Material Warehouse - Lamination Bay,2026-07-17,2026-07-16,Return or scrap segregation for Bearing 6202-2RS against MO202600000046.
47,47,4,278.000,278.000,No,1200.00,333600.00,Electrical Store - Sleeve Bin,Harness Preparation Cell,2026-07-19,2026-07-17,Production issue for Rotor Core 1.5 kW against MO202600000047.
48,48,65,293.000,293.000,No,12.00,3516.00,Safety Stock Room,Shutdown Maintenance Cage,2026-07-21,2026-07-18,Maintenance spare issue for Hex Bolt M835 against MO202600000048.
49,49,42,94.000,94.000,No,3200.00,300800.00,Rotor Assembly Line 2,Quality Hold Area,2026-07-22,2026-07-19,Quality inspection sample for Resolver High Precision against MO202600000049.
50,50,101,50.000,50.000,No,36500.00,1825000.00,Packing Line - Motor Cell,Finished Goods Warehouse - Dispatch Ready Bay,2026-07-21,2026-07-20,Finished goods receipt movement for PMSM Motor 3 kW against MO202600000050.
51,51,102,2.000,2.000,No,82000.00,164000.00,Finished Goods Warehouse - Dispatch Ready Bay,Export Packing Bay,2026-07-23,2026-07-21,Dispatch staging movement for PMSM Motor 7.5 kW against MO202600000051.
52,52,35,148.000,148.000,No,90.00,13320.00,Rework Cell - Stator Bay,Rework Cell - Rotor Balancing,2026-07-24,2026-07-22,Assembly transfer for Terminal Block Standard against MO202600000052.
53,53,83,12844.000,12844.000,g,0.60,7706.40,Final Assembly Changeover Trolley,Electrical Store - Connector Bin,2026-07-27,2026-07-23,Return or scrap segregation for Bearing Grease against MO202600000053.
54,54,56,184.000,184.000,No,10.00,1840.00,Raw Material Warehouse - Fastener Rack,Assembly Line Feed Bay,2026-07-25,2026-07-24,Production issue for Slot Liner 0.30 mm against MO202600000054.
55,55,85,14400.000,14400.000,g,1.80,25920.00,Electrical Store - Breaker Bin,Utility Repair Bench,2026-07-27,2026-07-25,Maintenance spare issue for Solder Wire against MO202600000055.
56,56,2,133.000,133.000,No,2800.00,372400.00,Final Test Area,NVH Audit Bench,2026-07-29,2026-07-26,Quality inspection sample for Stator Core 3 kW against MO202600000056.
57,57,102,14.000,14.000,No,82000.00,1148000.00,Quality Release Area,Finished Goods Warehouse - Audit Hold Rack,2026-07-30,2026-07-27,Finished goods receipt movement for PMSM Motor 7.5 kW against MO202600000057.
58,58,100,16.000,16.000,No,18500.00,296000.00,Finished Goods Warehouse - Customer Hold Rack,Customer Pickup Bay,2026-07-29,2026-07-28,Dispatch staging movement for BLDC Motor 1.5 kW against MO202600000058.
59,59,16,78.000,78.000,No,1300.00,101400.00,Production Utility Panel Area,Line Support Store,2026-07-31,2026-07-29,Assembly transfer for Housing 1.5 kW against MO202600000059.
60,60,4,269.000,269.000,No,1200.00,322800.00,Maintenance Return Counter,Maintenance Spares Cage,2026-08-01,2026-07-30,Return or scrap segregation for Rotor Core 1.5 kW against MO202600000060.
61,61,29,195.000,195.000,kg,850.00,165750.00,Raw Material Warehouse - Copper Rack A,Stator Winding Line 1,2026-08-04,2026-07-31,Production issue for Copper Wire 1.00 mm against MO202600000061.
62,62,53,132.000,132.000,No,3.00,396.00,Maintenance Spares Cage,Assembly Maintenance Bay,2026-08-02,2026-08-01,Maintenance spare issue for Cable Tie 200 mm against MO202600000062.
63,63,12,150.000,150.000,No,1800.00,270000.00,Stator Winding Line 1,Assembly Quality Gate,2026-08-04,2026-08-02,Quality inspection sample for Motor Shaft EN24 against MO202600000063.
64,64,100,28.000,28.000,No,18500.00,518000.00,Final Assembly Line 1,Finished Goods Warehouse - EV Motor Zone,2026-08-06,2026-08-03,Finished goods receipt movement for BLDC Motor 1.5 kW against MO202600000064.
65,65,101,30.000,30.000,No,36500.00,1095000.00,Finished Goods Warehouse - EV Motor Zone,Dispatch Staging Dock 1,2026-08-07,2026-08-04,Dispatch staging movement for PMSM Motor 3 kW against MO202600000065.
66,66,28,8.000,8.000,No,110.00,880.00,Stator Buffer Area,Rotor Assembly Feed Bay,2026-08-06,2026-08-05,Assembly transfer for Oil Seal Heavy Duty against MO202600000066.
67,67,64,306.000,306.000,No,5.00,1530.00,Assembly Line Surplus Bin,Raw Material Warehouse - Copper Rack A,2026-08-08,2026-08-06,Return or scrap segregation for Hex Bolt M625 against MO202600000067.
68,68,5,90.000,90.000,No,2200.00,198000.00,Raw Material Warehouse - Lamination Bay,Core Stacking Line,2026-08-09,2026-08-07,Production issue for Rotor Core 3 kW against MO202600000068.
69,69,65,358.000,358.000,No,12.00,4296.00,Tool Crib - Calibration Shelf,Preventive Maintenance Bay,2026-08-12,2026-08-08,Maintenance spare issue for Hex Bolt M835 against MO202600000069.
70,70,94,80.000,80.000,No,35.00,2800.00,Core Stacking Line,Incoming Quality Bay,2026-08-10,2026-08-09,Quality inspection sample for Aluminium Nameplate against MO202600000070.
71,71,101,42.000,42.000,No,36500.00,1533000.00,Final Assembly Line 2,Finished Goods Warehouse - Premium Motor Aisle,2026-08-12,2026-08-10,Finished goods receipt movement for PMSM Motor 3 kW against MO202600000071.
72,72,102,44.000,44.000,No,82000.00,3608000.00,Finished Goods Warehouse - Premium Motor Aisle,Dispatch Staging Dock 2,2026-08-14,2026-08-11,Dispatch staging movement for PMSM Motor 7.5 kW against MO202600000072.
73,73,66,462.000,462.000,No,1.50,693.00,Winding Line Transfer Rack,Rotor Balancing Cell,2026-08-15,2026-08-12,Assembly transfer for Hex Nut M5 against MO202600000073.
74,74,30,99.000,99.000,kg,880.00,87120.00,Winding Line Excess Material Trolley,Raw Material Warehouse - Fastener Rack,2026-08-14,2026-08-13,Return or scrap segregation for Copper Wire 1.20 mm against MO202600000074.
75,75,57,170.000,170.000,No,12.00,2040.00,Raw Material Warehouse - Magnet Cage,Rotor Assembly Line 1,2026-08-16,2026-08-14,Production issue for Slot Liner 0.35 mm against MO202600000075.
76,76,85,1737.000,1737.000,g,1.80,3126.60,Lubricants Store,Motor Test Maintenance Bay,2026-08-17,2026-08-15,Maintenance spare issue for Solder Wire against MO202600000076.
77,77,5,396.000,396.000,No,2200.00,871200.00,Impregnation Oven Exit Area,Quality Inspection Bay 1,2026-08-20,2026-08-16,Quality inspection sample for Rotor Core 3 kW against MO202600000077.
78,78,102,6.000,6.000,No,82000.00,492000.00,End of Line Test Area,Finished Goods Warehouse - Export Hold,2026-08-18,2026-08-17,Finished goods receipt movement for PMSM Motor 7.5 kW against MO202600000078.
79,79,100,8.000,8.000,No,18500.00,148000.00,Finished Goods Warehouse - Export Hold,Dispatch Staging Dock 3,2026-08-20,2026-08-18,Dispatch staging movement for BLDC Motor 1.5 kW against MO202600000079.
80,80,73,163.000,163.000,No,1.20,195.60,Core Stacking Output Rack,Assembly Supermarket,2026-08-22,2026-08-19,Assembly transfer for Spring Washer M6 against MO202600000080.
81,81,8,333.000,333.000,No,240.00,79920.00,Core Stacking Excess Rack,Raw Material Warehouse - Lamination Bay,2026-08-23,2026-08-20,Return or scrap segregation for NdFeB Magnet N45 against MO202600000081.
82,82,30,84.000,84.000,kg,880.00,73920.00,Electrical Store - Sleeve Bin,Harness Preparation Cell,2026-08-22,2026-08-21,Production issue for Copper Wire 1.20 mm against MO202600000082.
83,83,53,118.000,118.000,No,3.00,354.00,Safety Stock Room,Shutdown Maintenance Cage,2026-08-24,2026-08-22,Maintenance spare issue for Cable Tie 200 mm against MO202600000083.
84,84,41,136.000,136.000,No,1400.00,190400.00,Rotor Assembly Line 2,Quality Hold Area,2026-08-25,2026-08-23,Quality inspection sample for Resolver / Encoder against MO202600000084.
85,85,100,20.000,20.000,No,18500.00,370000.00,Packing Line - Motor Cell,Finished Goods Warehouse - Dispatch Ready Bay,2026-08-28,2026-08-24,Finished goods receipt movement for BLDC Motor 1.5 kW against MO202600000085.
86,86,101,22.000,22.000,No,36500.00,803000.00,Finished Goods Warehouse - Dispatch Ready Bay,Export Packing Bay,2026-08-26,2026-08-25,Dispatch staging movement for PMSM Motor 3 kW against MO202600000086.
87,87,37,190.000,190.000,No,420.00,79800.00,Rework Cell - Stator Bay,Rework Cell - Rotor Balancing,2026-08-28,2026-08-26,Assembly transfer for Terminal Block Industrial against MO202600000087.
88,88,81,11073.000,11073.000,g,1.20,13287.60,Final Assembly Changeover Trolley,Electrical Store - Connector Bin,2026-08-30,2026-08-27,Return or scrap segregation for Epoxy Adhesive against MO202600000088.
89,89,6,353.000,353.000,No,5000.00,1765000.00,Raw Material Warehouse - Fastener Rack,Assembly Line Feed Bay,2026-08-31,2026-08-28,Production issue for Rotor Core 7.5 kW against MO202600000089.
90,90,65,423.000,423.000,No,12.00,5076.00,Electrical Store - Breaker Bin,Utility Repair Bench,2026-08-30,2026-08-29,Maintenance spare issue for Hex Bolt M835 against MO202600000090.
91,91,1,421.000,421.000,No,1800.00,757800.00,Final Test Area,NVH Audit Bench,2026-09-01,2026-08-30,Quality inspection sample for Stator Core 1.5 kW against MO202600000091.
92,92,101,34.000,34.000,No,36500.00,1241000.00,Quality Release Area,Finished Goods Warehouse - Audit Hold Rack,2026-09-02,2026-08-31,Finished goods receipt movement for PMSM Motor 3 kW against MO202600000092.
93,93,102,36.000,36.000,No,82000.00,2952000.00,Finished Goods Warehouse - Customer Hold Rack,Customer Pickup Bay,2026-09-05,2026-09-01,Dispatch staging movement for PMSM Motor 7.5 kW against MO202600000093.
94,94,18,120.000,120.000,No,5200.00,624000.00,Production Utility Panel Area,Line Support Store,2026-09-03,2026-09-02,Assembly transfer for Housing 7.5 kW against MO202600000094.
95,95,2,106.000,106.000,No,2800.00,296800.00,Maintenance Return Counter,Maintenance Spares Cage,2026-09-05,2026-09-03,Return or scrap segregation for Stator Core 3 kW against MO202600000095.
96,96,58,156.000,156.000,No,6.00,936.00,Raw Material Warehouse - Copper Rack A,Stator Winding Line 1,2026-09-07,2026-09-04,Production issue for Phase Insulation Paper against MO202600000096.
97,97,85,18075.000,18075.000,g,1.80,32535.00,Maintenance Spares Cage,Assembly Maintenance Bay,2026-09-08,2026-09-05,Maintenance spare issue for Solder Wire against MO202600000097.
98,98,11,192.000,192.000,No,750.00,144000.00,Stator Winding Line 1,Assembly Quality Gate,2026-09-07,2026-09-06,Quality inspection sample for Motor Shaft EN19 against MO202600000098.
99,99,102,48.000,48.000,No,82000.00,3936000.00,Final Assembly Line 1,Finished Goods Warehouse - EV Motor Zone,2026-09-09,2026-09-07,Finished goods receipt movement for PMSM Motor 7.5 kW against MO202600000099.
100,100,100,50.000,50.000,No,18500.00,925000.00,Finished Goods Warehouse - EV Motor Zone,Dispatch Staging Dock 1,2026-09-10,2026-09-08,Dispatch staging movement for BLDC Motor 1.5 kW against MO202600000100.
101,101,24,68.000,68.000,No,220.00,14960.00,Stator Buffer Area,Rotor Assembly Feed Bay,2026-09-13,2026-09-09,Assembly transfer for Bearing 6205-2RS against MO202600000101.
102,102,63,254.000,254.000,No,3.00,762.00,Assembly Line Surplus Bin,Raw Material Warehouse - Copper Rack A,2026-09-11,2026-09-10,Return or scrap segregation for Hex Bolt M520 against MO202600000102.
103,103,31,164.000,164.000,kg,920.00,150880.00,Raw Material Warehouse - Lamination Bay,Core Stacking Line,2026-09-13,2026-09-11,Production issue for Copper Wire 1.60 mm against MO202600000103.
104,104,53,104.000,104.000,No,3.00,312.00,Tool Crib - Calibration Shelf,Preventive Maintenance Bay,2026-09-15,2026-09-12,Maintenance spare issue for Cable Tie 200 mm against MO202600000104.
105,105,44,122.000,122.000,No,220.00,26840.00,Core Stacking Line,Incoming Quality Bay,2026-09-16,2026-09-13,Quality inspection sample for PT100 Sensor against MO202600000105.
106,106,100,12.000,12.000,No,18500.00,222000.00,Final Assembly Line 2,Finished Goods Warehouse - Premium Motor Aisle,2026-09-15,2026-09-14,Finished goods receipt movement for BLDC Motor 1.5 kW against MO202600000106.
107,107,101,14.000,14.000,No,36500.00,511000.00,Finished Goods Warehouse - Premium Motor Aisle,Dispatch Staging Dock 2,2026-09-17,2026-09-15,Dispatch staging movement for PMSM Motor 3 kW against MO202600000107.
108,108,68,410.000,410.000,No,6.00,2460.00,Winding Line Transfer Rack,Rotor Balancing Cell,2026-09-18,2026-09-16,Assembly transfer for Hex Nut M8 against MO202600000108.
109,109,29,105.000,105.000,kg,850.00,89250.00,Winding Line Excess Material Trolley,Raw Material Warehouse - Fastener Rack,2026-09-21,2026-09-17,Return or scrap segregation for Copper Wire 1.00 mm against MO202600000109.
110,110,7,52.000,52.000,No,180.00,9360.00,Raw Material Warehouse - Magnet Cage,Rotor Assembly Line 1,2026-09-19,2026-09-18,Production issue for NdFeB Magnet N42 against MO202600000110.
111,111,65,488.000,488.000,No,12.00,5856.00,Lubricants Store,Motor Test Maintenance Bay,2026-09-21,2026-09-19,Maintenance spare issue for Hex Bolt M835 against MO202600000111.
112,112,4,233.000,233.000,No,1200.00,279600.00,Impregnation Oven Exit Area,Quality Inspection Bay 1,2026-09-23,2026-09-20,Quality inspection sample for Rotor Core 1.5 kW against MO202600000112.
113,113,101,26.000,26.000,No,36500.00,949000.00,End of Line Test Area,Finished Goods Warehouse - Export Hold,2026-09-24,2026-09-21,Finished goods receipt movement for PMSM Motor 3 kW against MO202600000113.
114,114,102,28.000,28.000,No,82000.00,2296000.00,Finished Goods Warehouse - Export Hold,Dispatch Staging Dock 3,2026-09-23,2026-09-22,Dispatch staging movement for PMSM Motor 7.5 kW against MO202600000114.
115,115,32,477.000,477.000,m,35.00,16695.00,Core Stacking Output Rack,Assembly Supermarket,2026-09-25,2026-09-23,Assembly transfer for Phase Lead Wire 2.5 mm against MO202600000115.
116,116,7,280.000,280.000,No,180.00,50400.00,Core Stacking Excess Rack,Raw Material Warehouse - Lamination Bay,2026-09-26,2026-09-24,Return or scrap segregation for NdFeB Magnet N42 against MO202600000116.
117,117,59,142.000,142.000,No,5.00,710.00,Electrical Store - Sleeve Bin,Harness Preparation Cell,2026-09-29,2026-09-25,Production issue for Slot Wedge against MO202600000117.
118,118,85,5412.000,5412.000,g,1.80,9741.60,Safety Stock Room,Shutdown Maintenance Cage,2026-09-27,2026-09-26,Maintenance spare issue for Solder Wire against MO202600000118.
119,119,40,178.000,178.000,No,120.00,21360.00,Rotor Assembly Line 2,Quality Hold Area,2026-09-29,2026-09-27,Quality inspection sample for Hall Sensor PCB against MO202600000119.
120,120,102,40.000,40.000,No,82000.00,3280000.00,Packing Line - Motor Cell,Finished Goods Warehouse - Dispatch Ready Bay,2026-10-01,2026-09-28,Finished goods receipt movement for PMSM Motor 7.5 kW against MO202600000120.
121,121,100,42.000,42.000,No,18500.00,777000.00,Finished Goods Warehouse - Dispatch Ready Bay,Export Packing Bay,2026-10-02,2026-09-29,Dispatch staging movement for BLDC Motor 1.5 kW against MO202600000121.
122,122,46,36.000,36.000,No,750.00,27000.00,Rework Cell - Stator Bay,Rework Cell - Rotor Balancing,2026-10-01,2026-09-30,Assembly transfer for Motor Connector IP68 against MO202600000122.
123,123,80,59263.000,59263.000,ml,0.80,47410.40,Final Assembly Changeover Trolley,Electrical Store - Connector Bin,2026-10-03,2026-10-01,Return or scrap segregation for Insulating Varnish against MO202600000123.
124,124,1,190.000,190.000,No,1800.00,342000.00,Raw Material Warehouse - Fastener Rack,Assembly Line Feed Bay,2026-10-04,2026-10-02,Production issue for Stator Core 1.5 kW against MO202600000124.
125,125,53,90.000,90.000,No,3.00,270.00,Electrical Store - Breaker Bin,Utility Repair Bench,2026-10-07,2026-10-03,Maintenance spare issue for Cable Tie 200 mm against MO202600000125.
126,126,97,108.000,108.000,No,2.00,216.00,Final Test Area,NVH Audit Bench,2026-10-05,2026-10-04,Quality inspection sample for Inspection Sticker against MO202600000126.
127,127,100,4.000,4.000,No,18500.00,74000.00,Quality Release Area,Finished Goods Warehouse - Audit Hold Rack,2026-10-07,2026-10-05,Finished goods receipt movement for BLDC Motor 1.5 kW against MO202600000127.
128,128,101,6.000,6.000,No,36500.00,219000.00,Finished Goods Warehouse - Customer Hold Rack,Customer Pickup Bay,2026-10-09,2026-10-06,Dispatch staging movement for PMSM Motor 3 kW against MO202600000128.
129,129,20,162.000,162.000,No,450.00,72900.00,Production Utility Panel Area,Line Support Store,2026-10-10,2026-10-07,Assembly transfer for Rear End Cover against MO202600000129.
130,130,1,394.000,394.000,No,1800.00,709200.00,Maintenance Return Counter,Maintenance Spares Cage,2026-10-09,2026-10-08,Return or scrap segregation for Stator Core 1.5 kW against MO202600000130.
131,131,8,389.000,389.000,No,240.00,93360.00,Raw Material Warehouse - Copper Rack A,Stator Winding Line 1,2026-10-11,2026-10-09,Production issue for NdFeB Magnet N45 against MO202600000131.
132,132,65,72.000,72.000,No,12.00,864.00,Maintenance Spares Cage,Assembly Maintenance Bay,2026-10-12,2026-10-10,Maintenance spare issue for Hex Bolt M835 against MO202600000132.
133,133,10,38.000,38.000,No,450.00,17100.00,Stator Winding Line 1,Assembly Quality Gate,2026-10-15,2026-10-11,Quality inspection sample for Motor Shaft EN8 against MO202600000133.
134,134,101,18.000,18.000,No,36500.00,657000.00,Final Assembly Line 1,Finished Goods Warehouse - EV Motor Zone,2026-10-13,2026-10-12,Finished goods receipt movement for PMSM Motor 3 kW against MO202600000134.
135,135,102,20.000,20.000,No,82000.00,1640000.00,Finished Goods Warehouse - EV Motor Zone,Dispatch Staging Dock 1,2026-10-15,2026-10-13,Dispatch staging movement for PMSM Motor 7.5 kW against MO202600000135.
136,136,63,176.000,176.000,No,3.00,528.00,Stator Buffer Area,Rotor Assembly Feed Bay,2026-10-17,2026-10-14,Assembly transfer for Hex Bolt M520 against MO202600000136.
137,137,24,92.000,92.000,No,220.00,20240.00,Assembly Line Surplus Bin,Raw Material Warehouse - Copper Rack A,2026-10-18,2026-10-15,Return or scrap segregation for Bearing 6205-2RS against MO202600000137.
138,138,60,92.000,92.000,m,18.00,1656.00,Raw Material Warehouse - Lamination Bay,Core Stacking Line,2026-10-17,2026-10-16,Production issue for Heat Shrink Sleeve 6 mm against MO202600000138.
139,139,85,21750.000,21750.000,g,1.80,39150.00,Tool Crib - Calibration Shelf,Preventive Maintenance Bay,2026-10-19,2026-10-17,Maintenance spare issue for Solder Wire against MO202600000139.
140,140,43,164.000,164.000,No,85.00,13940.00,Core Stacking Line,Incoming Quality Bay,2026-10-20,2026-10-18,Quality inspection sample for Temperature Sensor NTC against MO202600000140.
141,141,102,32.000,32.000,No,82000.00,2624000.00,Final Assembly Line 2,Finished Goods Warehouse - Premium Motor Aisle,2026-10-23,2026-10-19,Finished goods receipt movement for PMSM Motor 7.5 kW against MO202600000141.
142,142,100,34.000,34.000,No,18500.00,629000.00,Finished Goods Warehouse - Premium Motor Aisle,Dispatch Staging Dock 2,2026-10-21,2026-10-20,Dispatch staging movement for BLDC Motor 1.5 kW against MO202600000142.
143,143,70,358.000,358.000,No,1.20,429.60,Winding Line Transfer Rack,Rotor Balancing Cell,2026-10-23,2026-10-21,Assembly transfer for Flat Washer M6 against MO202600000143.
