item_code,item_name,item_description,category,uom,unit_cost,reorder_level,safety_stock,maximum_stock,criticality,status
PKG001,Corrugated Carton Box,Standard / 7-Ply / Heavy Duty,Packaging Materials,No,45,1520,760,3040,Non Critical,Active
PKG002,Foam Insert,EPE Foam,Packaging Materials,No,18,3040,1520,6080,Non Critical,Active
PKG003,Bubble Wrap,Heavy Duty,Packaging Materials,Sheet,10,1760,880,3520,Non Critical,Active
PKG004,Poly Bag,LDPE,Packaging Materials,No,6,1520,760,3040,Non Critical,Active
PKG005,Packing Tape,BOPP,Packaging Materials,m,1.2,1600,800,3200,Non Critical,Active
PKG006,Silica Gel Pouch,Moisture Absorber,Packaging Materials,No,3,1760,880,3520,Non Critical,Active
IDD001,Aluminium Nameplate,Laser Engraved,Identification & Documentation,No,35,1520,760,3040,Semi Critical,Active
IDD002,QR Code Label,Polyester,Identification & Documentation,No,3,1520,760,3040,Semi Critical,Active
IDD003,Rating Sticker,Polyester,Identification & Documentation,No,4,1520,760,3040,Semi Critical,Active
IDD004,Inspection Sticker,QC Approved,Identification & Documentation,No,2,1520,760,3040,Non Critical,Active
IDD005,User Manual,Printed,Identification & Documentation,No,8,1520,760,3040,Non Critical,Active
IDD006,Warranty Card,Printed,Identification & Documentation,No,4,1520,760,3040,Non Critical,Active
FG001,BLDC Motor 1.5 kW,Finished motor for 2-wheeler EV application,Finished Goods,No,18500,300,150,900,Critical,Active
FG002,PMSM Motor 3 kW,Finished motor for 3-wheeler EV application,Finished Goods,No,36500,180,90,540,Critical,Active
FG003,PMSM Motor 7.5 kW,Finished motor for cargo EV application,Finished Goods,No,82000,90,45,270,Critical,Active
SFG-ST15,Finished Stator 1.5kW,Semi-finished stator assembly for 1.5kW EV motor,Semi-Finished Goods,No,5200,120,60,360,Critical,Active
SFG-ST30,Finished Stator 3kW,Semi-finished stator assembly for 3kW EV motor,Semi-Finished Goods,No,7800,90,45,270,Critical,Active
SFG-ST75,Finished Stator 7.5kW,Semi-finished stator assembly for 7.5kW EV motor,Semi-Finished Goods,No,15500,45,22,135,Critical,Active
SFG-RT15,Finished Rotor 1.5kW,Semi-finished rotor assembly for 1.5kW EV motor,Semi-Finished Goods,No,4300,120,60,360,Critical,Active
SFG-RT30,Finished Rotor 3kW,Semi-finished rotor assembly for 3kW EV motor,Semi-Finished Goods,No,6900,90,45,270,Critical,Active
SFG-RT75,Finished Rotor 7.5kW,Semi-finished rotor assembly for 7.5kW EV motor,Semi-Finished Goods,No,13600,45,22,135,Critical,Active
