move_order_id,move_order_number,move_order_date,move_order_type,source_location,destination_location,requested_by,approved_by,moved_by,reference_type,reference_id,priority,move_status,remarks,created_at,updated_at
11,MO2025081100011,2025-08-11,Finished Goods Transfer,Semi-Finished Store,Finished Goods Store,1,1,1,Finished Goods Receipt,11,Medium,In Transit,Finished Goods Transfer for motor manufacturing warehouse movement,2025-08-11 09:10:00,2025-08-11 15:50:00
12,MO2025081300012,2025-08-13,QA Hold Transfer,Finished Goods Store,QA Hold Area,1,1,1,Finished Goods Receipt,12,High,Approved,QA Hold Transfer for motor manufacturing warehouse movement,2025-08-13 09:17:00,2025-08-13 15:01:00
13,MO2025080800013,2025-08-08,Rejection Transfer,QA Hold Area,Rejection Bay,1,1,1,Finished Goods Receipt,13,Urgent,Requested,Rejection Transfer for motor manufacturing warehouse movement,2025-08-08 09:24:00,2025-08-08 15:12:00
14,MO2025050800014,2025-05-08,Dispatch Staging Transfer,Finished Goods Store,Dispatch Staging Area,1,1,1,Customer Order,14,High,Draft,Draft dispatch staging transfer request awaiting confirmation,2025-05-08 09:31:00,2025-05-08 15:23:00
15,MO2025010400015,2025-01-04,Raw Material Transfer,Raw Material Store,Electrical Store,1,1,1,Manual Transfer,,Low,Cancelled,Raw Material Transfer cancelled due to revised material movement plan,2025-01-04 09:38:00,2025-01-04 15:34:00
16,MO2025022100016,2025-02-21,Production Issue Transfer,Consumables Store,Production Line 2,1,1,1,Production Order,16,Urgent,Rejected,Production Issue Transfer rejected due to location or quantity mismatch,2025-02-21 09:45:00,2025-02-21 15:45:00
17,MO2025100600017,2025-10-06,Semi-Finished Transfer,Production Line 1,Semi-Finished Store,1,1,1,Production Order,17,High,Completed,Semi-Finished Transfer for motor manufacturing warehouse movement,2025-10-06 09:52:00,2025-10-06 15:56:00
18,MO2025021100018,2025-02-11,Finished Goods Transfer,Semi-Finished Store,Finished Goods Store,1,1,1,Finished Goods Receipt,18,Medium,Completed,Finished Goods Transfer for motor manufacturing warehouse movement,2025-02-11 09:59:00,2025-02-11 15:07:00
19,MO2025100200019,2025-10-02,QA Hold Transfer,Production Line 1,QA Hold Area,1,1,1,Finished Goods Receipt,19,Urgent,In Transit,QA Hold Transfer for motor manufacturing warehouse movement,2025-10-02 09:06:00,2025-10-02 15:18:00
20,MO2025100400020,2025-10-04,Rejection Transfer,QA Hold Area,Rejection Bay,1,1,1,Finished Goods Receipt,20,High,Approved,Rejection Transfer for motor manufacturing warehouse movement,2025-10-04 09:13:00,2025-10-04 15:29:00
21,MO2025051300021,2025-05-13,Dispatch Staging Transfer,Finished Goods Store,Dispatch Staging Area,1,1,1,Customer Order,21,Urgent,Requested,Dispatch Staging Transfer for motor manufacturing warehouse movement,2025-05-13 09:20:00,2025-05-13 15:40:00
22,MO2025010500022,2025-01-05,Raw Material Transfer,Raw Material Store,Mechanical Store,1,1,1,Manual Transfer,,Medium,Draft,Draft raw material transfer request awaiting confirmation,2025-01-05 09:27:00,2025-01-05 15:51:00
23,MO2025112200023,2025-11-22,Production Issue Transfer,Mechanical Store,Production Line 1,1,1,1,Production Order,23,Low,Cancelled,Production Issue Transfer cancelled due to revised material movement plan,2025-11-22 09:34:00,2025-11-22 15:02:00
24,MO2025112500024,2025-11-25,Semi-Finished Transfer,Production Line 2,Semi-Finished Store,1,1,1,Production Order,24,Medium,Rejected,Semi-Finished Transfer rejected due to location or quantity mismatch,2025-11-25 09:41:00,2025-11-25 15:13:00
25,MO2025101200025,2025-10-12,Finished Goods Transfer,Semi-Finished Store,Finished Goods Store,1,1,1,Finished Goods Receipt,25,High,Completed,Finished Goods Transfer for motor manufacturing warehouse movement,2025-10-12 09:48:00,2025-10-12 15:24:00
26,MO2025101400026,2025-10-14,QA Hold Transfer,Finished Goods Store,QA Hold Area,1,1,1,Finished Goods Receipt,26,High,Completed,QA Hold Transfer for motor manufacturing warehouse movement,2025-10-14 09:55:00,2025-10-14 15:35:00
27,MO2025101600027,2025-10-16,Rejection Transfer,QA Hold Area,Rejection Bay,1,1,1,Finished Goods Receipt,27,High,In Transit,Rejection Transfer for motor manufacturing warehouse movement,2025-10-16 09:02:00,2025-10-16 15:46:00
28,MO2025052900028,2025-05-29,Dispatch Staging Transfer,Finished Goods Store,Dispatch Staging Area,1,1,1,Customer Order,28,High,Approved,Dispatch Staging Transfer for motor manufacturing warehouse movement,2025-05-29 09:09:00,2025-05-29 15:57:00
29,MO2025010600029,2025-01-06,Raw Material Transfer,Raw Material Store,Electrical Store,1,1,1,Manual Transfer,,High,Requested,Raw Material Transfer for motor manufacturing warehouse movement,2025-01-06 09:16:00,2025-01-06 15:08:00
30,MO2026020200030,2026-02-02,Production Issue Transfer,Electrical Store,Production Line 2,1,1,1,Production Order,30,High,Draft,Draft production issue transfer request awaiting confirmation,2026-02-02 09:23:00,2026-02-02 15:19:00
31,MO2025040400031,2025-04-04,Semi-Finished Transfer,Production Line 1,Semi-Finished Store,1,1,1,Production Order,31,Low,Cancelled,Semi-Finished Transfer cancelled due to revised material movement plan,2025-04-04 09:30:00,2025-04-04 15:30:00
32,MO2025032200032,2025-03-22,Finished Goods Transfer,Semi-Finished Store,Finished Goods Store,1,1,1,Finished Goods Receipt,32,Medium,Rejected,Finished Goods Transfer rejected due to location or quantity mismatch,2025-03-22 09:37:00,2025-03-22 15:41:00
33,MO2025032400033,2025-03-24,QA Hold Transfer,Production Line 1,QA Hold Area,1,1,1,Finished Goods Receipt,33,High,Completed,QA Hold Transfer for motor manufacturing warehouse movement,2025-03-24 09:44:00,2025-03-24 15:52:00
34,MO2026012900034,2026-01-29,Rejection Transfer,QA Hold Area,Rejection Bay,1,1,1,Finished Goods Receipt,34,Urgent,Completed,Rejection Transfer for motor manufacturing warehouse movement,2026-01-29 09:51:00,2026-01-29 15:03:00
35,MO2025061100035,2025-06-11,Dispatch Staging Transfer,Finished Goods Store,Dispatch Staging Area,1,1,1,Customer Order,35,High,In Transit,Dispatch Staging Transfer for motor manufacturing warehouse movement,2025-06-11 09:58:00,2025-06-11 15:14:00
36,MO2025010700036,2025-01-07,Raw Material Transfer,Raw Material Store,Mechanical Store,1,1,1,Manual Transfer,,Medium,Approved,Raw Material Transfer for motor manufacturing warehouse movement,2025-01-07 09:05:00,2025-01-07 15:25:00
37,MO2026031500037,2026-03-15,Production Issue Transfer,Raw Material Store,Production Line 1,1,1,1,Production Order,37,High,Requested,Production Issue Transfer for motor manufacturing warehouse movement,2026-03-15 09:12:00,2026-03-15 15:36:00
38,MO2026032300038,2026-03-23,Semi-Finished Transfer,Production Line 2,Semi-Finished Store,1,1,1,Production Order,38,Medium,Draft,Draft semi-finished transfer request awaiting confirmation,2026-03-23 09:19:00,2026-03-23 15:47:00
39,MO2026030200039,2026-03-02,Finished Goods Transfer,Semi-Finished Store,Finished Goods Store,1,1,1,Finished Goods Receipt,39,Low,Cancelled,Finished Goods Transfer cancelled due to revised material movement plan,2026-03-02 09:26:00,2026-03-02 15:58:00
40,MO2026030900040,2026-03-09,QA Hold Transfer,Finished Goods Store,QA Hold Area,1,1,1,Finished Goods Receipt,40,Urgent,Rejected,QA Hold Transfer rejected due to location or quantity mismatch,2026-03-09 09:33:00,2026-03-09 15:09:00
41,MO2026031100041,2026-03-11,Rejection Transfer,QA Hold Area,Rejection Bay,1,1,1,Finished Goods Receipt,41,High,Completed,Rejection Transfer for motor manufacturing warehouse movement,2026-03-11 09:40:00,2026-03-11 15:20:00
42,MO2025070200042,2025-07-02,Dispatch Staging Transfer,Finished Goods Store,Dispatch Staging Area,1,1,1,Customer Order,42,High,Completed,Dispatch Staging Transfer for motor manufacturing warehouse movement,2025-07-02 09:47:00,2025-07-02 15:31:00
43,MO2025010200043,2025-01-02,Raw Material Transfer,Raw Material Store,Electrical Store,1,1,1,Manual Transfer,,Medium,In Transit,Raw Material Transfer for motor manufacturing warehouse movement,2025-01-02 09:54:00,2025-01-02 15:42:00
44,MO2025052000044,2025-05-20,Production Issue Transfer,Consumables Store,Production Line 2,1,1,1,Production Order,44,High,Approved,Production Issue Transfer for motor manufacturing warehouse movement,2025-05-20 09:01:00,2025-05-20 15:53:00
45,MO2025070600045,2025-07-06,Semi-Finished Transfer,Production Line 1,Semi-Finished Store,1,1,1,Production Order,45,High,Requested,Semi-Finished Transfer for motor manufacturing warehouse movement,2025-07-06 09:08:00,2025-07-06 15:04:00
46,MO2025050800046,2025-05-08,Finished Goods Transfer,Semi-Finished Store,Finished Goods Store,1,1,1,Finished Goods Receipt,46,Medium,Draft,Draft finished goods transfer request awaiting confirmation,2025-05-08 09:15:00,2025-05-08 15:15:00
47,MO2025051000047,2025-05-10,QA Hold Transfer,Production Line 1,QA Hold Area,1,1,1,Finished Goods Receipt,47,Low,Cancelled,QA Hold Transfer cancelled due to revised material movement plan,2025-05-10 09:22:00,2025-05-10 15:26:00
48,MO2025051200048,2025-05-12,Rejection Transfer,QA Hold Area,Rejection Bay,1,1,1,Finished Goods Receipt,48,High,Rejected,Rejection Transfer rejected due to location or quantity mismatch,2025-05-12 09:29:00,2025-05-12 15:37:00
49,MO2025071000049,2025-07-10,Dispatch Staging Transfer,Finished Goods Store,Dispatch Staging Area,1,1,1,Customer Order,49,High,Completed,Dispatch Staging Transfer for motor manufacturing warehouse movement,2025-07-10 09:36:00,2025-07-10 15:48:00
50,MO2025010300050,2025-01-03,Raw Material Transfer,Raw Material Store,Mechanical Store,1,1,1,Manual Transfer,,Medium,Completed,Raw Material Transfer for motor manufacturing warehouse movement,2025-01-03 09:43:00,2025-01-03 15:59:00
51,MO2025060500051,2025-06-05,Production Issue Transfer,Mechanical Store,Production Line 1,1,1,1,Production Order,51,Urgent,In Transit,Production Issue Transfer for motor manufacturing warehouse movement,2025-06-05 09:50:00,2025-06-05 15:10:00
52,MO2025092800052,2025-09-28,Semi-Finished Transfer,Production Line 2,Semi-Finished Store,1,1,1,Production Order,52,Medium,Approved,Semi-Finished Transfer for motor manufacturing warehouse movement,2025-09-28 09:57:00,2025-09-28 15:21:00
53,MO2025052100053,2025-05-21,Finished Goods Transfer,Semi-Finished Store,Finished Goods Store,1,1,1,Finished Goods Receipt,53,High,Requested,Finished Goods Transfer for motor manufacturing warehouse movement,2025-05-21 09:04:00,2025-05-21 15:32:00
54,MO2025052300054,2025-05-23,QA Hold Transfer,Finished Goods Store,QA Hold Area,1,1,1,Finished Goods Receipt,54,High,Draft,Draft qa hold transfer request awaiting confirmation,2025-05-23 09:11:00,2025-05-23 15:43:00
55,MO2025081200055,2025-08-12,Rejection Transfer,QA Hold Area,Rejection Bay,1,1,1,Finished Goods Receipt,55,Low,Cancelled,Rejection Transfer cancelled due to revised material movement plan,2025-08-12 09:18:00,2025-08-12 15:54:00
56,MO2025071900056,2025-07-19,Dispatch Staging Transfer,Finished Goods Store,Dispatch Staging Area,1,1,1,Customer Order,56,Urgent,Rejected,Dispatch Staging Transfer rejected due to location or quantity mismatch,2025-07-19 09:25:00,2025-07-19 15:05:00
57,MO2025010400057,2025-01-04,Raw Material Transfer,Raw Material Store,Electrical Store,1,1,1,Manual Transfer,,High,Completed,Raw Material Transfer for motor manufacturing warehouse movement,2025-01-04 09:32:00,2025-01-04 15:16:00
58,MO2025101100058,2025-10-11,Production Issue Transfer,Electrical Store,Production Line 2,1,1,1,Production Order,58,High,Completed,Production Issue Transfer for motor manufacturing warehouse movement,2025-10-11 09:39:00,2025-10-11 15:27:00
59,MO2025102100059,2025-10-21,Semi-Finished Transfer,Production Line 1,Semi-Finished Store,1,1,1,Production Order,59,Medium,In Transit,Semi-Finished Transfer for motor manufacturing warehouse movement,2025-10-21 09:46:00,2025-10-21 15:38:00
60,MO2025090300060,2025-09-03,Finished Goods Transfer,Semi-Finished Store,Finished Goods Store,1,1,1,Finished Goods Receipt,60,Medium,Approved,Finished Goods Transfer for motor manufacturing warehouse movement,2025-09-03 09:53:00,2025-09-03 15:49:00
61,MO2025060300061,2025-06-03,QA Hold Transfer,Production Line 1,QA Hold Area,1,1,1,Finished Goods Receipt,61,Urgent,Requested,QA Hold Transfer for motor manufacturing warehouse movement,2025-06-03 09:00:00,2025-06-03 15:00:00
62,MO2025060500062,2025-06-05,Rejection Transfer,QA Hold Area,Rejection Bay,1,1,1,Finished Goods Receipt,62,High,Draft,Draft rejection transfer request awaiting confirmation,2025-06-05 09:07:00,2025-06-05 15:11:00
63,MO2025073000063,2025-07-30,Dispatch Staging Transfer,Finished Goods Store,Dispatch Staging Area,1,1,1,Customer Order,63,Low,Cancelled,Dispatch Staging Transfer cancelled due to revised material movement plan,2025-07-30 09:14:00,2025-07-30 15:22:00
64,MO2025010500064,2025-01-05,Raw Material Transfer,Raw Material Store,Mechanical Store,1,1,1,Manual Transfer,,Medium,Rejected,Raw Material Transfer rejected due to location or quantity mismatch,2025-01-05 09:21:00,2025-01-05 15:33:00
65,MO2026010800065,2026-01-08,Production Issue Transfer,Raw Material Store,Production Line 1,1,1,1,Production Order,65,High,Completed,Production Issue Transfer for motor manufacturing warehouse movement,2026-01-08 09:28:00,2026-01-08 15:44:00
66,MO2025072300066,2025-07-23,Semi-Finished Transfer,Production Line 2,Semi-Finished Store,1,1,1,Production Order,66,Medium,Completed,Semi-Finished Transfer for motor manufacturing warehouse movement,2025-07-23 09:35:00,2025-07-23 15:55:00
67,MO2025100900067,2025-10-09,Finished Goods Transfer,Semi-Finished Store,Finished Goods Store,1,1,1,Finished Goods Receipt,67,Medium,In Transit,Finished Goods Transfer for motor manufacturing warehouse movement,2025-10-09 09:42:00,2025-10-09 15:06:00
68,MO2025101100068,2025-10-11,QA Hold Transfer,Finished Goods Store,QA Hold Area,1,1,1,Finished Goods Receipt,68,High,Approved,QA Hold Transfer for motor manufacturing warehouse movement,2025-10-11 09:49:00,2025-10-11 15:17:00
69,MO2025101300069,2025-10-13,Rejection Transfer,QA Hold Area,Rejection Bay,1,1,1,Finished Goods Receipt,69,High,Requested,Rejection Transfer for motor manufacturing warehouse movement,2025-10-13 09:56:00,2025-10-13 15:28:00
70,MO2025080500070,2025-08-05,Dispatch Staging Transfer,Finished Goods Store,Dispatch Staging Area,1,1,1,Customer Order,70,High,Draft,Draft dispatch staging transfer request awaiting confirmation,2025-08-05 09:03:00,2025-08-05 15:39:00
71,MO2025010600071,2025-01-06,Raw Material Transfer,Raw Material Store,Electrical Store,1,1,1,Manual Transfer,,Low,Cancelled,Raw Material Transfer cancelled due to revised material movement plan,2025-01-06 09:10:00,2025-01-06 15:50:00
72,MO2026022800072,2026-02-28,Production Issue Transfer,Consumables Store,Production Line 2,1,1,1,Production Order,72,High,Rejected,Production Issue Transfer rejected due to location or quantity mismatch,2026-02-28 09:17:00,2026-02-28 15:01:00
73,MO2026030100073,2026-03-01,Semi-Finished Transfer,Production Line 1,Semi-Finished Store,1,1,1,Production Order,73,High,Completed,Semi-Finished Transfer for motor manufacturing warehouse movement,2026-03-01 09:24:00,2026-03-01 15:12:00
74,MO2026010600074,2026-01-06,Finished Goods Transfer,Semi-Finished Store,Finished Goods Store,1,1,1,Finished Goods Receipt,74,Medium,Completed,Finished Goods Transfer for motor manufacturing warehouse movement,2026-01-06 09:31:00,2026-01-06 15:23:00
75,MO2026010800075,2026-01-08,QA Hold Transfer,Production Line 1,QA Hold Area,1,1,1,Finished Goods Receipt,75,High,In Transit,QA Hold Transfer for motor manufacturing warehouse movement,2026-01-08 09:38:00,2026-01-08 15:34:00
76,MO2025072200076,2025-07-22,Rejection Transfer,QA Hold Area,Rejection Bay,1,1,1,Finished Goods Receipt,76,Urgent,Approved,Rejection Transfer for motor manufacturing warehouse movement,2025-07-22 09:45:00,2025-07-22 15:45:00
77,MO2025081200077,2025-08-12,Dispatch Staging Transfer,Finished Goods Store,Dispatch Staging Area,1,1,1,Customer Order,77,High,Requested,Dispatch Staging Transfer for motor manufacturing warehouse movement,2025-08-12 09:52:00,2025-08-12 15:56:00
78,MO2025010700078,2025-01-07,Raw Material Transfer,Raw Material Store,Mechanical Store,1,1,1,Manual Transfer,,Medium,Draft,Draft raw material transfer request awaiting confirmation,2025-01-07 09:59:00,2025-01-07 15:07:00
79,MO2025041100079,2025-04-11,Production Issue Transfer,Mechanical Store,Production Line 1,1,1,1,Production Order,79,Low,Cancelled,Production Issue Transfer cancelled due to revised material movement plan,2025-04-11 09:06:00,2025-04-11 15:18:00
80,MO2025051200080,2025-05-12,Semi-Finished Transfer,Production Line 2,Semi-Finished Store,1,1,1,Production Order,80,Medium,Rejected,Semi-Finished Transfer rejected due to location or quantity mismatch,2025-05-12 09:13:00,2025-05-12 15:29:00
81,MO2026013100081,2026-01-31,Finished Goods Transfer,Semi-Finished Store,Finished Goods Store,1,1,1,Finished Goods Receipt,81,High,Completed,Finished Goods Transfer for motor manufacturing warehouse movement,2026-01-31 09:20:00,2026-01-31 15:40:00
82,MO2026030600082,2026-03-06,QA Hold Transfer,Finished Goods Store,QA Hold Area,1,1,1,Finished Goods Receipt,82,Urgent,Completed,QA Hold Transfer for motor manufacturing warehouse movement,2026-03-06 09:27:00,2026-03-06 15:51:00
83,MO2026030800083,2026-03-08,Rejection Transfer,QA Hold Area,Rejection Bay,1,1,1,Finished Goods Receipt,83,High,In Transit,Rejection Transfer for motor manufacturing warehouse movement,2026-03-08 09:34:00,2026-03-08 15:02:00
84,MO2025082100084,2025-08-21,Dispatch Staging Transfer,Finished Goods Store,Dispatch Staging Area,1,1,1,Customer Order,84,High,Approved,Dispatch Staging Transfer for motor manufacturing warehouse movement,2025-08-21 09:41:00,2025-08-21 15:13:00
85,MO2025010200085,2025-01-02,Raw Material Transfer,Raw Material Store,Electrical Store,1,1,1,Manual Transfer,,High,Requested,Raw Material Transfer for motor manufacturing warehouse movement,2025-01-02 09:48:00,2025-01-02 15:24:00
86,MO2025091700086,2025-09-17,Production Issue Transfer,Electrical Store,Production Line 2,1,1,1,Production Order,86,Urgent,Draft,Draft production issue transfer request awaiting confirmation,2025-09-17 09:55:00,2025-09-17 15:35:00
87,MO2025080800087,2025-08-08,Semi-Finished Transfer,Production Line 1,Semi-Finished Store,1,1,1,Production Order,87,Low,Cancelled,Semi-Finished Transfer cancelled due to revised material movement plan,2025-08-08 09:02:00,2025-08-08 15:46:00
88,MO2026031900088,2026-03-19,Finished Goods Transfer,Semi-Finished Store,Finished Goods Store,1,1,1,Finished Goods Receipt,88,Medium,Rejected,Finished Goods Transfer rejected due to location or quantity mismatch,2026-03-19 09:09:00,2026-03-19 15:57:00
89,MO2026032100089,2026-03-21,QA Hold Transfer,Production Line 1,QA Hold Area,1,1,1,Finished Goods Receipt,89,High,Completed,QA Hold Transfer for motor manufacturing warehouse movement,2026-03-21 09:16:00,2026-03-21 15:08:00
90,MO2026032300090,2026-03-23,Rejection Transfer,QA Hold Area,Rejection Bay,1,1,1,Finished Goods Receipt,90,High,Completed,Rejection Transfer for motor manufacturing warehouse movement,2026-03-23 09:23:00,2026-03-23 15:19:00
91,MO2025082000091,2025-08-20,Dispatch Staging Transfer,Finished Goods Store,Dispatch Staging Area,1,1,1,Customer Order,91,Urgent,In Transit,Dispatch Staging Transfer for motor manufacturing warehouse movement,2025-08-20 09:30:00,2025-08-20 15:30:00
92,MO2025010300092,2025-01-03,Raw Material Transfer,Raw Material Store,Mechanical Store,1,1,1,Manual Transfer,,Medium,Approved,Raw Material Transfer for motor manufacturing warehouse movement,2025-01-03 09:37:00,2025-01-03 15:41:00
93,MO2025092900093,2025-09-29,Production Issue Transfer,Raw Material Store,Production Line 1,1,1,1,Production Order,93,High,Requested,Production Issue Transfer for motor manufacturing warehouse movement,2025-09-29 09:44:00,2025-09-29 15:52:00
94,MO2025100100094,2025-10-01,Semi-Finished Transfer,Production Line 2,Semi-Finished Store,1,1,1,Production Order,94,Medium,Draft,Draft semi-finished transfer request awaiting confirmation,2025-10-01 09:51:00,2025-10-01 15:03:00
95,MO2025052500095,2025-05-25,Finished Goods Transfer,Semi-Finished Store,Finished Goods Store,1,1,1,Finished Goods Receipt,95,Low,Cancelled,Finished Goods Transfer cancelled due to revised material movement plan,2025-05-25 09:58:00,2025-05-25 15:14:00
96,MO2025052700096,2025-05-27,QA Hold Transfer,Finished Goods Store,QA Hold Area,1,1,1,Finished Goods Receipt,96,High,Rejected,QA Hold Transfer rejected due to location or quantity mismatch,2025-05-27 09:05:00,2025-05-27 15:25:00
97,MO2025052300097,2025-05-23,Rejection Transfer,QA Hold Area,Rejection Bay,1,1,1,Finished Goods Receipt,97,Urgent,Completed,Rejection Transfer for motor manufacturing warehouse movement,2025-05-23 09:12:00,2025-05-23 15:36:00
98,MO2025090200098,2025-09-02,Dispatch Staging Transfer,Finished Goods Store,Dispatch Staging Area,1,1,1,Customer Order,98,High,Completed,Dispatch Staging Transfer for motor manufacturing warehouse movement,2025-09-02 09:19:00,2025-09-02 15:47:00
99,MO2025010400099,2025-01-04,Raw Material Transfer,Raw Material Store,Electrical Store,1,1,1,Manual Transfer,,Medium,In Transit,Raw Material Transfer for motor manufacturing warehouse movement,2025-01-04 09:26:00,2025-01-04 15:58:00
100,MO2025112000100,2025-11-20,Production Issue Transfer,Consumables Store,Production Line 2,1,1,1,Production Order,100,High,Approved,Production Issue Transfer for motor manufacturing warehouse movement,2025-11-20 09:33:00,2025-11-20 15:09:00
101,MO2025110400101,2025-11-04,Semi-Finished Transfer,Production Line 1,Semi-Finished Store,1,1,1,Production Order,101,High,Requested,Semi-Finished Transfer for motor manufacturing warehouse movement,2025-11-04 09:40:00,2025-11-04 15:20:00
102,MO2025090700102,2025-09-07,Finished Goods Transfer,Semi-Finished Store,Finished Goods Store,1,1,1,Finished Goods Receipt,102,Medium,Draft,Draft finished goods transfer request awaiting confirmation,2025-09-07 09:47:00,2025-09-07 15:31:00
103,MO2025091300103,2025-09-13,QA Hold Transfer,Production Line 1,QA Hold Area,1,1,1,Finished Goods Receipt,103,Low,Cancelled,QA Hold Transfer cancelled due to revised material movement plan,2025-09-13 09:54:00,2025-09-13 15:42:00
104,MO2025091500104,2025-09-15,Rejection Transfer,QA Hold Area,Rejection Bay,1,1,1,Finished Goods Receipt,104,High,Rejected,Rejection Transfer rejected due to location or quantity mismatch,2025-09-15 09:01:00,2025-09-15 15:53:00
105,MO2025091000105,2025-09-10,Dispatch Staging Transfer,Finished Goods Store,Dispatch Staging Area,1,1,1,Customer Order,105,High,Completed,Dispatch Staging Transfer for motor manufacturing warehouse movement,2025-09-10 09:08:00,2025-09-10 15:04:00
106,MO2025010500106,2025-01-05,Raw Material Transfer,Raw Material Store,Mechanical Store,1,1,1,Manual Transfer,,Medium,Completed,Raw Material Transfer for motor manufacturing warehouse movement,2025-01-05 09:15:00,2025-01-05 15:15:00
107,MO2026012800107,2026-01-28,Production Issue Transfer,Mechanical Store,Production Line 1,1,1,1,Production Order,107,High,In Transit,Production Issue Transfer for motor manufacturing warehouse movement,2026-01-28 09:22:00,2026-01-28 15:26:00
108,MO2026020300108,2026-02-03,Semi-Finished Transfer,Production Line 2,Semi-Finished Store,1,1,1,Production Order,108,Medium,Approved,Semi-Finished Transfer for motor manufacturing warehouse movement,2026-02-03 09:29:00,2026-02-03 15:37:00
109,MO2025101300109,2025-10-13,Finished Goods Transfer,Semi-Finished Store,Finished Goods Store,1,1,1,Finished Goods Receipt,109,High,Requested,Finished Goods Transfer for motor manufacturing warehouse movement,2025-10-13 09:36:00,2025-10-13 15:48:00
110,MO2025101500110,2025-10-15,QA Hold Transfer,Finished Goods Store,QA Hold Area,1,1,1,Finished Goods Receipt,110,High,Draft,Draft qa hold transfer request awaiting confirmation,2025-10-15 09:43:00,2025-10-15 15:59:00
111,MO2025101700111,2025-10-17,Rejection Transfer,QA Hold Area,Rejection Bay,1,1,1,Finished Goods Receipt,111,Low,Cancelled,Rejection Transfer cancelled due to revised material movement plan,2025-10-17 09:50:00,2025-10-17 15:10:00
112,MO2025091900112,2025-09-19,Dispatch Staging Transfer,Finished Goods Store,Dispatch Staging Area,1,1,1,Customer Order,112,High,Rejected,Dispatch Staging Transfer rejected due to location or quantity mismatch,2025-09-19 09:57:00,2025-09-19 15:21:00
113,MO2025010600113,2025-01-06,Raw Material Transfer,Raw Material Store,Electrical Store,1,1,1,Manual Transfer,,High,Completed,Raw Material Transfer for motor manufacturing warehouse movement,2025-01-06 09:04:00,2025-01-06 15:32:00
114,MO2026031700114,2026-03-17,Production Issue Transfer,Electrical Store,Production Line 2,1,1,1,Production Order,114,High,Completed,Production Issue Transfer for motor manufacturing warehouse movement,2026-03-17 09:11:00,2026-03-17 15:43:00
115,MO2026031600115,2026-03-16,Semi-Finished Transfer,Production Line 1,Semi-Finished Store,1,1,1,Production Order,115,Medium,In Transit,Semi-Finished Transfer for motor manufacturing warehouse movement,2026-03-16 09:18:00,2026-03-16 15:54:00
116,MO2025110600116,2025-11-06,Finished Goods Transfer,Semi-Finished Store,Finished Goods Store,1,1,1,Finished Goods Receipt,116,Medium,Approved,Finished Goods Transfer for motor manufacturing warehouse movement,2025-11-06 09:25:00,2025-11-06 15:05:00
117,MO2025110800117,2025-11-08,QA Hold Transfer,Production Line 1,QA Hold Area,1,1,1,Finished Goods Receipt,117,High,Requested,QA Hold Transfer for motor manufacturing warehouse movement,2025-11-08 09:32:00,2025-11-08 15:16:00
